,Idiom,Meaning,literal_translation,Example,Translation_to_ENG_batch
332,It can happen to the best of us,A cualquiera se le muere un tío, , ,It can happen to the best of us
333,It can happen to the best of us,Al mejor cazador se le va la liebre, , ,It can happen to the best of us
334,It goes in one ear and out the other,"A palabras necias, oídos sordos", , ,It goes in one ear and out the other
335,It happens to the best of them,A cualquiera se le muere un tío, , ,It happens to the best of them
336,It happens to the best of them,Al mejor cazador se le va la liebre, , ,It happens to the best of them
337,It is better to give than to receive,Es mejor dar que recibir, , ,It is better to give than to receive
338,It is better to give than to receive,Hay que dar para recibir, , ,It is better to give than to receive
339,It takes all kinds,Hay de todo en la viña del Señor, , ,It takes all kinds
340,It takes money to make money,El dinero llama al dinero, , ,It takes money to make money
341,I’ve heard that story before,A otro perro con ese hueso, , ,I've heard that story before
342,Just what I needed,Me viene como anillo al dedo, , ,Just what I needed
343,Keep his word,Lo prometido es deuda, , ,Keep your word
344,Keep on top of things,No te duermas en las pajas, , ,Keep on top of things
345,Keep your shop and your shop will keep you,"El que tiene tienda que la atienda, o si no que la venda", , ,Keep your shop and your shop will keep you
346,Kill two birds with one stone,Matar dos pájaros de un tiro, , ,Kill two birds with one stone
347,Lead by example,La ley entra por la casa, , ,Lead by example
348,Leave the best for last,El mejor plato se deja para lo último, , ,Leave the best for last
349,Left at the altar,Se quedó vestida y “alboratá”, , ,Left at the altar
350,Left out to dry,Se quedó vestida y “alboratá”, , ,Left out to dry
351,Let bygones be bygones,Borrón y cuenta nueva, , ,Let bygones be bygones
352,Like a cat with nine lives,Tener más vidas que un gato, , ,Like a cat with nine lives
353,"Like father, like son","De tal padre, tal hijo", , ,"Like father, like son"
354,"Like father, like son","De tal palo, tal astilla", , ,"Like father, like son"
355,"Like father, like son","Hijo de gato, caza ratón", , ,"Like father, like son"
356,Like two peas in a pod,Tal para cual, , ,Like two peas in a pod
357,Look with your eyes not your hands,Tocan con los ojos y miran con las manos, , ,Look with your eyes not your hands
358,Looking for a needle in a haystack,Es como buscar una aguja en un pajar, , ,Looking for a needle in a haystack
359,Love is blind,El amor lo perdona todo, , ,Love is blind
360,Mad as a hatter,Como un ciempiés meado, , ,Mad as a hatter
361,Made for each other,Dios los cría y el Diablo los junta, , ,Made for each other
362,Made for each other,Tal para cual, , ,Made for each other
363,Make a mountain out of a mole hill,Formar una tormenta en un vaso de agua, , ,Make a mountain out of a mole hill
364,Make a mountain out of a mole hill,Hacen de un grano de arena una montaña, , ,Make a mountain out of a mole hill
365,Make do with what you’ve got,"A falta de pan, galleta", , ,Make do with what you've got
366,Make do with what you’ve got,Hay que arar con los bueyes que se tenga, , ,Make do with what you've got
367,Make the best of a bad situation,"Si del cielo te caen limones, aprende a hacer limonada", , ,Make the best of a bad situation
368,Make up your mind,O te peinas o te haces rolos, , ,Make up your mind
369,"Man proposes, God disposes",Uno propone y Dios dispone, , ,"Man proposes, God disposes"
370,Meet your match,Encontrarse con la horma de su zapato, , ,Meet your match
371,Might as well get it over with,Para lo que falta que venga el resto, , ,Might as well get it over with
372,Mix apples and oranges,Le dieron gato por liebre, , ,Mix apples and oranges
373,Mix apples and oranges,No es lo mismo ni se escribe igual, , ,Mix apples and oranges
374,Moderation in all things,Todo en exceso hace daño, , ,Moderation in all things
375,Money can’t buy you love,El amor no se compra con dinero, , ,Money can't buy you love
376,Necessity is the mother of invention,La necesidad es la madre de la invención, , ,Necessity is the mother of invention
377,Never ask pardon before you are accused,Te estás curando en salud, , ,Never ask forgiveness before you are accused
378,Never say never,Nunca digas “de esa agua no beberé”, , ,Never say never
379,New broom sweeps clean,Escoba nueva barre bien, , ,New broom sweeps clean
380,No big deal,"Olvídate, más se perdió en la guerra", , ,No big deal
381,No one can take it away from you,No te lo despinta nadie, , ,No one can take it away from you
382,"No pain, no gain","El que quiere azul celeste, que le cueste", , ,"No pain, no gain"
383,"No pain, no gain",Para nadar hay que tirarse al agua, , ,"No pain, no gain"
384,"No pain, no gain",Quien no se arriesga no lo logra, , ,"No pain, no gain"
385,Not as easy as it looks,La luna no es de queso ni se come con melao, , ,Not as easy as it looks
386,Not be a fan of,Ese no es santo de mi devoción, , ,Not be a fan of
387,Not in a million years,Esto será cuando la rana eche pelo, , ,Not in a million years
388,Nothing in life is free,Nadie da nada a cambio de nada, , ,Nothing in life is free
389,Nothing lasts forever,La agonía es larga pero la muerte es segura, , ,Nothing lasts forever
390,Nothing to write home about,No es nada del otro mundo, , ,Nothing to write home about
391,Nothing will come of it,De ese infierno no salen chispas, , ,Nothing will come of it
392,Nothing’s for free,No hay rosas sin espinas, , ,Nothing's for free
393,On the tip of the tongue,Tener algo en la punta de la lengua, , ,On the tip of the tongue
394,One swallow does not a summer make,Una sola golondrina no hace verano, , ,One swallow does not make a summer
395,Opened up a can of worms,Meterse en camisa de once varas, , ,Opened up a can of worms
396,Out of sight out of mind,La ausencia causa olvido, , ,Out of sight out of mind
397,Out of sight out of mind,"Ojos que no ven, corazón que no siente", , ,Out of sight out of mind
398,Out of touch with reality,El que vive de ilusiones muere de desengaños, , ,Out of touch with reality
399,Overstay your welcome,"El muerto, después de tres días, apesta", , ,Overstay your welcome
400,Overstay your welcome,El muerto y el agregado a los tres días hieden, , ,Overstay your welcome
401,Own up to one’s mistakes,A lo hecho pecho, , ,Own up to one's mistakes
402,Pass the buck,"Desde que se inventaron las excusas, nadie quiere ser culpable", , ,Pass the buck
403,Patience is a virtue,Vísteme despacio que voy de prisa, , ,Patience is a virtue
404,People who live in glass houses shouldn’t throw stones,No ensucies el agua para después tomártela, , ,People who live in glass houses shouldn't throw stones
405,People who live in glass houses shouldn’t throw stones,No tire piedras si tiene techo de cristal, , ,People who live in glass houses shouldn't throw stones
406,Practice makes perfect,La práctica hace el maestro, , ,Practice makes perfect
407,Practice makes perfect,La práctica hace milagros, , ,Practice makes perfect
408,Practice what you preach,"Bien predica, quien bien vive", , ,Practice what you preach
409,Put someone in his place,Hay que leerle la cartilla, , ,Put someone in his place
410,Right on the money,Hablaste por boca de santo, , ,Right on the money
411,Rob Peter to pay Paul,Desvestir un santo para vestir a otro, , ,Rob Peter to pay Paul
412,Rome was not built in a day,Roma no se hizo en un día, , ,Rome was not built in a day
413,Safety in numbers,En la unión está la fuerza, , ,Safety in numbers
414,Scared out of his mind,Como vaca que va para risco, , ,Scared out of his mind
415,Scared shitless,Con ojos de vaca cagona, , ,Scared shitless
416,Seeing is believing,Hay que ver para creer, , ,Seeing is believing
417,Seeing is believing,"Soy como Santo Tomás, ver para creer", , ,Seeing is believing
418,Sell a drowning man a glass of water,Venderle hasta una nevera a un esquimal, , ,Sell ​​a drowning man a glass of water
419,Sell ice to an Eskimo,Venderle hasta una nevera a un esquimal, , ,Sell ​​ice to an Eskimo
420,Sell sand to the Arabs,Venderle hasta una nevera a un esquimal, , ,Sell ​​sand to the Arabs
421,She married him for his money,El amor y el interés se fueron al campo un día y más pudo el interés que el amor que te tenía, , ,She married him for his money
422,Short reckonings make long friends,Cuentas claras conservan amistades, , ,Short reckonings make long friends
423,Silence gives consent,El que calla otorga, , ,Silence gives consent
424,Sleep on it,Hay que consultarlo con la almohada, , ,Sleep on it
425,Slower than molasses,Más lento que un suero de brea, , ,Slower than molasses
426,Slower than molasses,Más lento que una caravana de cojos, , ,Slower than molasses
427,"Someone is loaded (as in rich, not drunk)",Lo único que le falta es sarna para rascarse, , ,"Someone is loaded (as in rich, not drunk)"
428,Someone will get his,A cada puerco le llega su sábado, , ,Someone will get his
429,Something smells here,Huele a sicote, , ,Something smells here
430,Speak of the devil,Hablando del rey de Roma y las narices que asoma, , ,Speak of the devil
431,Start from scratch,Borrón y cuenta nueva, , ,Start from scratch
432,Step up to bat,¿Quién le pone el cascabel al gato?, , ,Step up to bat
433,Step up to the plate,¿Quién le pone el cascabel al gato?, , ,Step up to the plate
434,Still waters run deep,"Oye, mira y calla", , ,Still waters run deep
435,Stretch your limits,Hay que estirar los pies hasta donde llegue la sábana, , ,Stretch your limits
436,You better believe it,Lo dice y no lo sabe, , ,You better believe it
437,You can catch more flies with honey than with vinegar,Amor con amor se paga, , ,You can catch more flies with honey than with vinegar
438,You cannot get a quart into a pint pot,Eso es como pedirle peras al olmo, , ,You cannot get a quart into a pint pot
439,You cannot get blood from a stone [turnip],Eso es como pedirle peras al olmo, , ,You cannot get blood from a stone [turnip]
440,You can’t judge a book by its cover,Las apariencias engañan, , ,You can't judge a book by its cover
441,You can’t teach an old dog new tricks,"Moro viejo, mal cristiano", , ,You can't teach an old dog new tricks
442,You can’t teach an old dog new tricks,Perro viejo no aprende trucos nuevos, , ,You can't teach an old dog new tricks
443,You do what you can,Se hace lo que se puede, , ,You do what you can
444,You don’t know what you’ve got until it’s gone,Nadie sabe lo que tiene hasta que lo pierde, , ,You don't know what you've got until it's gone
445,You get what you deserve,La ley de Dios no tiene trampa, , ,You get what you deserve
446,You get what you pay for,Lo barato sale caro, , ,You get what you pay for
447,You make your own destiny,"Las estrellas inclinan, pero no obligan", , ,You make your own destiny
448,You owe me one,"Hoy por ti, mañana por mi", , ,You owe me one
449,You pays your man and you takes your chances,Para nadar hay que tirarse al agua, , ,You pay your man and you take your chances
450,You reap what you sow,"El que (bien) siembra, (bien) cosecha", , ,You reap what you sow
451,You reap what you sow,El que siembra espinas que no espere cosechar flores, , ,You reap what you sow
452,You reap what you sow,"El que siembra vientos [tormentas], cosecha tempestades", , ,You reap what you sow
453,You’re damned if you do and you’re damned if you don’t,Palo si boga y palo si no boga, , ,You're damned if you do and you're damned if you don't
454,You’re full of it,No me vengas con ese cuento, , ,You're full of it
455,"You’ve made your bed, now lie in it",Ahorcarse con su propia soga, , ,"You've made your bed, now lie in it"
456,a (la) merced de,at the mercy of (n.b.: the “la” is often omitted), , ,at the mercy of
457,a altas horas de la  madrugada,in the small hours of the morning, , ,in the wee hours of the morning
458,a cargo de,in charge of; responsible for; by, , ,in charge of
459,a causa de,because of; as a result of (lit.: at the cause of), , ,due
460,a chorros,in abundance; plenty; lots, , ,in spurts
461,a contrapelo,wrong way; backwards; backassed, , ,unwillingly
462,a corto plazo,in the short run; short-term; in the short term (lit.: at  short place), , ,short term
463,a deshora,at an inconvenient time, , ,at an inconvenient time
464,a diario,daily; every day, , ,daily
465,a disgusto,reluctantly, , ,reluctantly
466,a duras penas,hardly; barely; with difficulty, , ,Hardly
467,a eso de,"around, about (time) (lit.: a this of)", , ,around
468,a estas alturas,at this point; in this situation, , ,at this stage
469,a fin de cuentas,in the end; after all, , ,after all
470,a fondo,in depth; deeply; fully, , ,thoroughly
471,a gatas,crawling (lit.: on legs/feet; used with the verbs estar or  andar), , ,on all fours
472,a juro,no matter what (used in Venezuela), , ,I swear
473,a la altura,at the level; up to (lit.: at the height), , ,at the height
474,a la intemperie,"in the open (lit.: at/on the elements. Intemperie refers to  the weather and other forces in the physical, natural world, particularly as  experienced without the benefits of technology, particularly modern technology)", , ,out in the open
475,a la par de,on the same level as, , ,on par with
476,a la salida del sol,sunrise (lit.: at the appearance of the sun), , ,at sunrise
477,a la vez,at once; at the same time (lit.: at the time), , ,at once
478,a la vista,in view; in sight (lit.: at the sight), , ,in sight
479,a la vuelta,on the way back (lit: at the turn), , ,around
480,a la vuelta de,just around the corner (lit.: at the turn of)., ,1. Mi  restaurante favorito está justo a la vuelta de mi oficina.,around the corner
481,a largo plazo,in the long run; long-term; in the long term (lit.: at long  place), , ,long-term
482,a lo largo (de),along; at the other end (lit.: at the far/long), , ,throughout)
483,a lo lejos,from afar; at a distance (lit.: at the distant; allso in the  form “a los lejos.”), , ,in the distance
484,a lo mejor,probably; most likely (lit.: to the better), , ,probably
485,a manos de,at the hands of, , ,at the hands of
486,a manos llenas,generously; lavishly (lit.: with full hands), , ,hand over fist
487,a medida que,as (something happens or happened); in the process of  (something happening), , ,as
488,a medio plazo,medium-term; in the medium term, , ,in the medium term
489,a menudo,"often, frequently (lit.: of often)", , ,often
490,a mi modo de pensar,in my view; the way I see it, , ,to my way of thinking
491,a mi modo de ver,in my view; the way I see it, , ,in my opinion
492,a otro perro con ese  hueso,go tell it to the marines (lit.: [give] this bone to another  dog), , ,To another dog with that bone
493,a palo seco,on its own; with nothing else, , ,dry stick
494,a partir de ahora,from now one (lit.: at the start of now), , ,hereinafter
495,a pesar de,despite; in spite of, , ,although
496,a plazo,on credit, , ,in term
497,a plena luz,in broad daylight, , ,in full light
498,a primera hora,at the earliest moment, , ,first thing in the morning
499,a primera vista,at first sight; at first blush (lit.: at first sight), , ,at first sight
500,a propósito,on purpose; deliberately, , ,by the way
501,a propósito,by the way; speaking of which, , ,by the way
502,a punto de,"on the verge of, about to (lit.: at point of)", , ,nearly
503,a que,I bet (lit.: to what), , ,to what
504,a ratos,from time to time, , ,sometimes
505,a sus espaldas,behind someone's back, , ,behind their backs
506,a tientas,"by touch, by feel", , ,groping
507,a toda costa,at all costs (lit.: at all cost), , ,at all costs
508,a todo dar,"with full speed, far out, fabulous, great", , ,at full speed
509,a toda máquina,"quickly, fast (lit.: at all machine)", , ,at full speed
510,a toda prisa,"with all speed, hastily, quickly (lit.: at all haste)", , ,at full speed
511,a todas luces,by any reckoning, , ,clearly
512,a todo correr,"with all speed, hastily, quickly (lit.: at full running  (run))", , ,at full speed
513,a toro pasado,in retrospect; in hindsight (lit.: by the bull gone past), , ,to past bull
514,a trabajar,to work (n.b.: said when encouraging yourself or others to  start working), , ,to work
515,a tráves de,through, , ,through
516,a veces,sometimes; at times, , ,sometimes
517,a ver,now then; let's see; hm-m, , ,let's see
518,a verga,by hook or by crook, , ,damn
519,a(l) fin de cuentas,when all’s said and done; when it comes down to it (lit.: at  (the) end of accounts), , ,at the end of the day
520,ahora mismo,right now; this minute, , ,right now
521,al azar,at random; randomly (lit.: to chance), , ,random
522,al cabo de,"after, since (lit.: at the finish of)", , ,after
523,al fin y al cabo,in the end; ultimately (lit.: at (the) end and at (the)  finish), , ,after all
524,al final,"in the end, finally (lit.: at (the) end)", , ,in the end
525,al menos,"at least, at a minimum (lit.: at the least)", , ,at least
526,al oro,good; well done (used in Venezuela), , ,to gold
527,al parecer,apparently; apparent; by appearances, , ,apparently
528,al pelo,just what is wanted or needed, , ,to the hair
529,al poco rato,after a little while, , ,after a while
530,al rape,closely-cropped; close cut (lit.: to the monkfish), , ,monkfish
531,al revés,backwards; the other way around; the opposite, , ,the other way around
532,alcornoque,blockhead; dunderhead; nincompoop (lit.: cork oak), , ,cork oak
533,almas gemelas,soulmates (lit.: twin souls), , ,soulmates
534,andar a palos,be fighting or squabbling all the time, , ,walk with sticks
535,andar como burro sin  mecate,be wild; be out of control (lit.: to walk like a donkey  wihout a leash), , ,walk like a donkey without a rope
536,"año nuevo, vida nueva","Happy New Year (lit.: new year, new life; used as a greeting  or statement around Jan. 1)", , ,new Year New Life
537,apalear oro,be rolling in dough; be made of money, , ,beat gold
538,apretarse el cinturón,tighten one's belt; economize, , ,tighten your belt
539,armar un jaleo,"make a fuss, commotion (lit.: to arm or raise a fuss)", , ,alarm
540,armar una bronca,kick up a fuss, , ,make a fuss
541,armarse la gorda,cause a ruckus; have all hell break loose (lit.: to arm  oneself the fat one), , ,get the big deal
542,armarse un lio,raise hell; make a fuss (lit.: to arm or raise a fight), , ,make a mess
543,arrimar el ascua a su  sardina,put one’s own interests first; work things to one’s  advantage (lit.: to bring coals or embers to one’s sardine), , ,bring the ember closer to your sardine
544,así que,"so that, which means that (lit.: thus that)", , ,so
545,atar corto a alg,keep someone on a short leash; keep someone under tight rein  (lit.: tie someone close), , ,tie something short
546,ausente sin culpa ni  presente sin disculpa,the absentee is always in the wrong (lit.: absent without  blame and no present without excuses), , ,absent without fault nor present without apology
547,Ave María Purísima,"for heaven’s sake (lit.: hail most pure Mary; n.b.: used in  religious services, and as an exclamation)", , ,The Virgin Mary
548,bar de ligar,singles' bar; pickup joint (used in Spain), , ,flirt bar
549,bicho raro,oddball (lit.: rare bug), , ,weirdo
550,brillar por su  ausencia,be conspicuous by one’s absence, , ,shine by their absence
551,buscar bronca,be spoiling for a fight; be looking for a fight, , ,look for anger
552,cada hijo de vecino,"every Tom, Dick, and Harry; everyone", , ,every neighbor's child
553,cada muerte de obispo,once in a blue moon; very rarely (lit.: each time a bishop  dies), , ,every bishop death
554,caer en la cuenta,realize, , ,realize
555,caer mal,dislike; not like., , ,fall badly
556,caerle bien a alguien,look good; feel good; seem pleasant (lit.: to fall well to  someone), , ,to like someone
557,caérsele a alg la  baba con/por algo,drool over someone or something; dote on someone; be crazy  about someone or something (lit.: to left fall slobber over someone or  something), , ,drooling over/for something
558,caérsele los anillos  a algn,be beneath one; be beneath one’s dignity (lit.: to have  one’s rings fall off), , ,someone's rings falling off
559,cambiar de idea,change one’s mind (lit.: to change idea), , ,change of idea
560,cambiar de tema,change a/the subject, , ,change topic
561,camino de,"along the way, on the way (lit.: road/path of)", , ,path of
562,canta a pelo,sing unaccompanied, , ,sing bareback
563,carne de gallina,gooseflesh, , ,goose-flesh
564,cerrar algo a cal y  canto,"shut something tight, firmly, securely", , ,close something tight
565,chiflar el moño a  algn,be nuts; be crazy, , ,blow someone's bow
566,cielos,"heavens; oh my gosh (lit.: heavens; n.b.: used when  surprised, often in place of something vulgar)", , ,Heavens
567,cien por cien,100%; with certainty; precisely (lit.: one-hundred by  one-hundred), , ,one hundred by one hundred
568,claro que sí,of course; yes; indeed, , ,of course
569,cocerse en un propia  salsa,stew in one's (own) juice, , ,cook in your own sauce
570,coger el toro por los  cuernos,grab the bull by the horns (n.b.: coger is used only in  Spain), , ,take the bull by the horns
571,comer a deshora,eat at odd times, , ,eat at the wrong time
572,como agua para  chocolate,furious; enraged (lit.: like water for chocolate), , ,like water for Chocolate
573,como de costumbre,as usual (lit.: as of custom), , ,as usual
574,como Dios manda,the way it's supposed to be, , ,as God commands
575,como perro en barrio  ajeno,out of place; in the wrong neighborhood (lit.: like a dog in  a distant neighborhood; i.e.: people who try to enter other parts of society  may be attacked or ostracized), , ,like a dog in a strange neighborhood
576,como quitarle un pelo  al gato,a victimless crime (lit.: like removing a hair from a cat;  i.e.: the quantity in question is so small that it has no significant effect  and goes unnoticed), , ,how to remove hair from a cat
577,como si no fuera poco,as if it were not enough, , ,as if it were not enough
578,como siempre,as usual; as always, , ,as usual
579,como un oro,like new (lit.: like a gold [coin]), , ,like gold
580,como un perro,like a dog; like scum; in the gutter (lit.: like a dog), , ,like a dog
581,como una balsa de  aceite,smoothly; swimmingly; peacefully (lit.: like a pool of oil), , ,like a pond of oil
582,como una rosa,fresh as a daisy; soft as silk (lit.: like a rose), , ,like a rose
583,con anticipación,in advance; ahead of time, , ,in advance
584,con apuros,with difficulty, , ,in trouble
585,con pelos y señales,in minute detail; precisely, , ,with hairs and signs
586,con permiso,with (your) permission, , ,excuse me
587,con seguridad,surely; certainly; absolutely, , ,Safely
588,con toda la barba,real; the real deal; honest to goodness; true (lit.: with  all the beard), , ,with all the beard
589,con todo respeto,with all due respect., , ,respectfully
590,consultarlo con la  almohada,sleep on it (lit.: consult about something with the pillow), , ,consult it with pillow
591,contar con,count on, , ,count on
592,correr la bola,spread the word; put out the word, , ,run the ball
593,cortar el bacalao,call the shots (lit.: to cut the codfish; n.b.: Spain usage), , ,cut the cod
594,cortar las alas a  alg.,clip someone’s wings; nip something in the bud (lit.: cut  the wings of someone or something), , ,cut the wings of something
595,cortar un pelo en el  aire,be smart, , ,cut a hair in the air
596,corto de luces,dim; dull; stupid, , ,short of lights
597,cuando pueda,when you can; when you have a moment, , ,whenever I can
598,cuanto antes,as soon as possible (lit.: as much before), , ,sooner
599,cuatro gatos,a handful of people; half a dozen people; a small group of  people (lit.: four cats), , ,four cats
600,dar a algn para el  pelo,be the living daylights out of someone; wipe the floor with  someone, , ,give someone for hair
601,dar a entender,let someone know, , ,make out
602,dar a la luz,give birth (lit.: to give to the light), , ,give light
603,dar la bienvenida,welcome (lit.: to give the welcome), , ,welcome
604,dar la lata,be a nuisance; annoy (lit.: to give the tin), , ,give the can
605,dar lástima,make someone sad (to) (lit.: to give pain/sadness), , ,feel sorry
606,dar luz verde,give a green light to; permit; allow; clear, , ,give green light
607,dar muerte a,kill someone, , ,kill
608,dar nacimiento a,give rise to, , ,give birth to
609,dar palo,hate; dislike; be unfortunate, , ,give stick
610,dar permiso,permit; allow; give permission, , ,give permission
611,dar risa,make one laugh; make one smile, , ,laugh
612,dar un paseo a  caballo,go horseback riding; ride a horse, , ,take a horse ride
613,dar un patatús a  alguien,make someone have a fit (lit.: to give someone a fit), , ,give someone a kick
614,dar un salto,jump; give a start; start (lit.: to give a jump), , ,To jump
615,dar un vergajo,screw; fuck; have sex with; shag, , ,give a whip
616,dar una de cal y otra  de arena,use a carrot-and-stick policy, , ,give one of lime and another of sand
617,dar una fiesta,give a party, , ,give a party
618,dar una vuelta,go for a ride, , ,take a walk
619,dar vida a,portray; play (i.e.: an actor playing a role), , ,give life to
620,darle a alguien mala  espina,make someone feel uneasy (lit.: to give bad thorns to someone), , ,give someone a bad feeling
621,darse cuenta de,be aware; realize (lit.: to give oneself account of)., ,1. ¿Te  has dado cuenta de que en el supermercado tenemos hasta nueve tipos diferentes  de papel higiénico para elegir?,realise
622,darse por vencido,give up; give in (lit.: to give oneself as defeated), , ,give up
623,darse prisa,hurry; rush; do (something) fast (lit.: to give one urgency), , ,hurry up
624,de abrigo,"a handful; someone to watch out for (lit.: coat, overcoat)", , ,Of coat
625,de ahí en adelante,from now on; from here onward (lit.: from here in forward), , ,from there on
626,de ahora en adelante,from now on; henceforth; from this moment forward (lit.:  from now in advance), , ,henceforth
627,de armas tomar,formidable; tough; redoubtable (lit.: for taking up arms), , ,of weapons to take
628,de buena gana,willingly; with ease; with pleasure (lit.: of good desire), , ,readily
629,de buenas a primeras,suddenly; without warning, , ,right off the bat
630,de cal y canto,strong; firm, , ,of lime and song
631,de costumbre,as usual; normally, , ,usual
632,de cuando en cuando,from time to time; sometimes; once in a while (lit.:  of when in when), , ,occasionally
633,de diario,everyday, , ,Of diary
634,de golpe,suddenly; abruptly; at once; all at once (lit.: of a blow or  strike), , ,suddenly
635,de hecho,"in fact, in reality (lit.: of fact).", ,"1. De hecho, qiuero ir  contigo.",in fact
636,de inmediato,"right now, immediately (lit.: from immediately)", , ,immediately
637,de medio pelo,second-rate, , ,medium hair
638,de miedo,fantastic(ally); wonderful(ly); brilliant(ly) (used in  Spain), , ,scary
639,de moda,in fashion; in style, , ,Fashion
640,de modo que,so; so that, , ,so that
641,de mucho cuidado,big; terrible; real (used adverbially), , ,very careful
642,de nada,not at all; you’re welcome; don’t mention it (n.b.: often  said in response to “gracías”), , ,you are welcome
643,de nuevo,again; once again; anew (lit.: of new), , ,again
644,de oro,great; good; very good; wonderful., , ,of gold
645,de par en par,wide open (lit.: from rafter to rafter), , ,wide open
646,de pelo en pecho,manly; masculine, , ,hair on chest
647,de perlas,just what someone needs; just right; go/fit perfectly (lit.:  of pearls), , ,pearl
648,de perros,foul; horrible; dirty, , ,dog's
649,de pocas luces,dim; dull; stupid, , ,dimly lit
650,de pronto,suddenly; at once; all at once (lit.: of soon), , ,suddenly
651,de repente,"abruptly, suddenly (lit.: of soon)", , ,suddenly
652,"de tal palo, tal  astilla","like father, like son (lit.: of such a broom, such a  splinter)", , ,Like father Like Son
653,de todas maneras,in any case; anyway, , ,anyway
654,de todos modos,anyway; at any rate (lit.: to the monkfish), , ,anyway
655,de un modo u otro,one way or another, , ,one way or another
656,de un momento a otro,at any moment, , ,from one moment to another
657,de una vez,now, , ,at once
658,de veras,"really, truly (lit.: of fact, truth)", , ,really
659,de vez en cuando,sometimes; now and then (lit.: from once in when), , ,from time to time
660,decir amén a todo,say yes to everything; agree to everything (lit.: to say  amen to everything), , ,say amen to everything
661,decir en broma,kid; joke; tease (lit.: to say (as a) joke), , ,say jokingly
662,dejar a alg en las  astas del toro,leave someone high and dry; leave someone in the lurch  (lit.: to leave someone on the horns of the bull), , ,leave someone on the horns of the bull
663,dejar de lado,set aside; put aside (lit.: to leave from (the) side), , ,set aside
664,dejar en paz,leave alone; leave be; let it be (lit.: to leave in peace), , ,leave alone
665,desde hacía rato,for some time, , ,for a while
666,desde luego,of course; certainly (lit.: after then/later), , ,of course
667,día a día,day after day., ,"1. La  economía real, la que cada uno de nosotros maneja día a día es otra cosa.",day to day
668,di que sí,go for it (lit.: say yes), , ,say yes
669,dormir el vino,sleep off a hangover, , ,sleep the wine
670,dormir juntos,sleep together (n.b.: in the sexual sense), , ,sleep together
671,echar agua al vino,water down, , ,pour water into the wine
672,echar ajos y cebollas,swear; curse; rant and rave (lit.: throw garlic and onions), , ,add garlic and onions
673,echar de menos,miss; feel the absence of (lit.: to throw less)., ,"1. Puedes  pasar una temporada en un país extranjero sin echar de menos tu comida, tu ropa  o tú café favorito.",miss
674,echar el pelo,waste time (used in Cono del Sur), , ,throw the hair
675,echar el toro a algn,scold somebody severely (lit.: throw the bull to somebody), , ,throw the bull at someone
676,echar mano a,lay hands on; get one's hands on, , ,get your hands on
677,echar mano de,make use of; resort to, , ,Lay hands on
678,echar por el atajo,take the easy way out (lit.: throw for the shortcut), , ,take the shortcut
679,echar un mano,help; assist (lit.: to throw less), , ,to help
680,echar un ojo a,have one’s eye on; covet (lit.: to throw an eye at), , ,take a look at
681,echar un vistazo,look around; glance; take a look (lit.: to throw less), , ,have a look
682,echar una bronca,hit hard; come down on, , ,throw a fight
683,echar una furia,throw a fit, , ,throw a fury
684,echar una mano a algn,let someone a hand; give someone a hand; help someone (lit.:  throw a hand to someone), , ,lend a hand to someone
685,echarle los perros a  algn,come down hard on someone (lit.: throw dogs at someone), , ,throw the dogs at someone
686,echarlo todo a rodar,mess it all up; make a mess of everything, , ,get everything rolling
687,echarse un novio/-a,get a boy/girlfriend (used in Spain), , ,get a boyfriend
688,"el cuatro es nota, el  resto es lugo","four is passing, anything else is a luxury (used in  Argentina)", , ,"four is note, the rest is place"
689,el pensamiento no  tiene/conoce barreras,you can think whatever you like (lit.: thought does not  have/know barriers), , ,thought has/knows no barriers
690,"el que se pica, ajos  come","if the shoe fits, wear it", , ,"he who chops himself, eats garlic"
691,el último grito,the latest thing (lit.: the latest cry), , ,the last cry
692,en absoluto,at all; (not) at all (usually used with a negative verb)., ,"1.  No, en absoluto.",absolutely
693,en adelante,from now on, , ,onwards
694,en bolas,naked; nude; in the buff (Spain usage; lit: in balls), , ,in balls
695,en bolas,in a group; together (Mexican usage; lit.: in balls), , ,in balls
696,en cambio,on the other hand, , ,instead
697,en carne viva,in the flesh (lit.: in living meat), , ,raw
698,en carne viva,raw; full; complete, , ,raw
699,en carne y hueso,in the flesh, , ,in the flesh
700,en caso de,in case of; in case, , ,in case of
701,en cuanto a,as for; when it comes to (lit.: in how much to)., ,"1. En cuanto  a la comida, todo lo que preparan es riquísimo.",as to
702,en cuerpo y alma,body and soul, , ,in body and soul
703,en definitiva,in short; in brief, , ,definitely
704,en el acto,in the act; red-handed, , ,in the act
705,en el medio de la  nada,in the middle of nowhere (lit.: in the middle of (the)  nothing), , ,in the middle of nowhere
706,en fin,in short; in brief, , ,anyway
707,en lo más mínimo,in the least bit, , ,in the least
708,en lugar de,"insted of, in place of (lit.: in place of)", , ,rather
709,en manos de,in the hands of, , ,in hands of
710,en pie de,on the verge of (lit.: at (the) foot of), , ,standing
711,en pos de,in pursuit of; after, , ,after
712,en realidad,actually; really; in reality, , ,In fact
713,en resumen,in sum; in brief; briefly, , ,in summary
714,en seguida,right away; at once; immediately, , ,right away
715,en serio,"really, truly, seriously (lit.: in serious)", , ,oh really
716,en todo caso,in any case; in any event; anyway, , ,in any case
717,en tu/su lugar,in your/his/her place (lit.: in your/his/her place), , ,in your/his place
