Text_Chunks,Translation_to_ENG
"El problema es que el hombre ya no puede dejar de pensar en Sara, lo que hace que se vea angustiado y esté constante distraído, cosa que su mujer nota, así que habla con él, se sienta y al borde de las lágrimas le dice, cualquier que sea el peso que te tiene preocupado. Suéltalo ya Jonathan la braza y responde, creo que el peso ya me soltó, a mí se apartan y Sara saca el regalo tradicional del novio John lo abre y resulta que es un libro de amor en tiempos de cólera.","The problem is that the man can no longer stop thinking about Sara, which makes him look distressed and constantly distracted, which his wife notices, so she talks to him, sits down and on the verge of tears tells him, whatever weight has you worried. Let go of Jonathan's breaststroke and he responds, I think the weight has already let go of me, they move away from me and Sara takes out the traditional gift from the groom. John opens it and it turns out that it is a book of love in times of anger."
En ese momento Jonathan empieza a temblar ante la posibilidad de encontrar lo que ha buscado por años va a la primera página y lo ha encontrado sin revelarle nada a su esposa le agradece por el regalo y sube un taxi con su mejor amigo a quien le cuenta todo din queda perplejo por esta coincidencia y enseguida se pone a buscar la dirección Paralelo a esto Sara descubre que su prometido vino a visitarla y salen a tomar un paseo.,"At that moment Jonathan begins to tremble at the possibility of finding what he has been looking for for years. He goes to the first page and has found it without revealing anything to his wife. He thanks her for the gift and gets into a taxi with his best friend, whom he tells. Everyone is perplexed by this coincidence and immediately starts looking for the address. Parallel to this, Sara discovers that her fiance came to visit her and they go out for a walk."
"Caminata que termina en el parque donde patinó con Jonathan. Ambos se sientan en una banca contemplar de regreso con los amigos, estos se encuentra en la Casa de Sara, ya que en lugar de llamarle quieren darle la sorpresa. Dim va a revisar pero su rostro cambia al ver que Sara está en la cama con otro hombre, pero a ver en realidad ella no es Sara, sólo es la hermana de SAR, pero Dean no conocía a ninguna de las","Walk that ends in the park where he skated with Jonathan. They both sit on a bench looking back at her friends, who are at Sara's House, since instead of calling her they want to surprise her. Dim goes to check but her face changes when she sees that Sara is in bed with another man, but let's see she's not really Sara, she's just HRH's sister, but Dean didn't know any of the girls."
", así que creyendo que el corazón de su amigo se romperá en pedazos, le dice que mejor la llame por teléfono antes de timbrar a la casa.",", so believing that her friend's heart will break into pieces, she tells him that he better call her on the phone before ringing the house."
"Para Jonathan esta ya es la recta final así que no piensa rendirse por lo que lucha contra su amigo para poder ver lo que es el esconde, pero cuando cae el suelo y se da cuenta de lo que cree que es Sara en brazos de otro hombre Jonathan se rompe los amigos se recuestan en el pasto posteriormente de índice, ella dijo que todo sucede por algo cierto bueno tal vez estás acostado aquí porque no quieres estar parado en otra parte así es con esto se refiere al altar cosa que le hace mucho sentido a Jonathan cada acción que Jonathan ha decidido tomar lo ha llevado esta esta situación.","For Jonathan this is already the final stretch so he does not plan to give up so he fights against his friend to see what he is hiding, but when the ground falls and he realizes what he believes is Sara in the arms of another man Jonathan breaks down, the friends lie down on the grass after dinner, she said that everything happens for a certain reason, well maybe you're lying here because you don't want to be standing anywhere else, so by this she means the altar, which makes a lot of sense to her. For Jonathan, every action that Jonathan has decided to take has led to this situation."
"Llámale suerte o destino. Puede que a Jonathan le haga sentido la frase de su amigo porque en el fondo sus deseos reprimidos están encontrando una confirmación de lo que siempre ha creído que quizás no está totalmente seguro de querer casarse con su prometida. La suerte, el destino, el universo. Los coincidencias le han dado esta señal, pero es decisión de Jonathan si le hace caso a esta ono, cosa que estamos por ver en paralelo, por un error o tal vez no.","Call it luck or destiny. Jonathan's friend's phrase may make sense to Jonathan because deep down his repressed desires are finding confirmation of what he has always believed: perhaps he is not totally sure he wants to marry his fiancée. . Luck, destiny, the universe. The coincidences have given him this signal, but it is Jonathan's decision whether he pays attention to this ono, which we are about to see in parallel, due to an error or perhaps not."
"El destino pone la cartera de If en manos de Sara. Antes de que despegue el avión, la chica descubre que al fin el billete con la dirección de Jonathan ha regresado Asus manos ese billete único entre cientos de miles de miles, pero preciado para Sara ha vuelto baja del avión y ya sabiendo su nombre busca la dirección del chico rezando le al mundo para que no sea demasiado tarde.","Fate puts the Ifa portfolio in Sara's hands. Before the plane takes off, the girl discovers that the ticket with Jonathan's address has finally returned to her hands. direction of the boy praying to the world that it is not too late."
"No obstante, al llegar unos vecinos le informan que el hombre está a punto de casarse decidida Sara, basta el hotel en donde se celebrará la boda busca el salón y cuando entra para detenerla se da cuenta de que ha llegado tarde la ceremonia ha terminado la chica piensa que toda esta búsqueda e ilusión han terminado no obstante el intendente le dice de hecho la boda nunca comenzó.","However, when some neighbors arrive, they inform her that the man is about to get married. Sara, determined to go to the hotel where the wedding will be held, looks for the hall and when he enters to stop her, he realizes that she has arrived late, the ceremony has ended. The girl thinks that all this search and excitement are over, however the mayor tells her that in fact the wedding never started."
"Sara no lo entiendo, así que el trabajador le explica que la boda fue cancelada, por lo que nunca se llevó a cabo. Sara mira el guante y, abrumada por un sinfín de emociones encontradas, rompe en llanto. Así es. Jonathan sí decidió hacerle caso a las señales que el mundo le estaba dando o desde otro punto de vista a las interpretaciones que él le dio a esta señal.","Sara doesn't understand it, so the worker explains that the wedding was canceled, so it never took place. Sara looks at the glove and, overwhelmed by a host of mixed emotions, she bursts into tears. That's how it is. Jonathan did decide to pay attention to the signs that the world was giving him or, from another point of view, to the interpretations that he gave to this sign."
"Asus deseos se enfrentó a la realidad de su sentir y eligió de tener todo antes de que fuera demasiado tarde. Esto, en mi opinión, puede ser muy valioso cuando nos encontramos en situaciones similares, sintiendo que la vida nos está dando señales, es crucial detenernos y cocinar. ¿Por qué vemos el mundo de esta manera? Ya que puede ser un reflejo de nuestros deseos o miedos más profundos.","His desires faced the reality of his feelings and chose to have everything before it was too late. This, in my opinion, can be very valuable when we find ourselves in similar situations, feeling that life is giving us signs, it is crucial to stop and cook. Why do we see the world this way? Since it can be a reflection of our deepest desires or fears."
"Y sí, quizás esta percepción puede estar influenciada por el sesgo de confirmación, donde tendemos a notar y dar importancia solo a aquellos aspectos de nuestro entorno que alinean con nuestras creencias o deseos internos. Sin embargo, no por eso son menos importantes las señales de hecho, al contrario, pudieran ser una llamada de escuchar lo que realmente estamos tratando de decirnos a nosotros mismos.","And yes, perhaps this perception may be influenced by confirmation bias, where we tend to notice and give importance to only those aspects of our environment that align with our internal beliefs or desires. However, factual signals are no less important; on the contrary, they could be a call to listen to what we are really trying to tell ourselves."
"Estas interpretaciones personales, más allá de que sea mensajes del universo o no, son reflejos de nuestros deseos, hablándonos así que si nos llega a suceder, podríamos considerar lo que realmente queremos o aquello que sabemos que debemos hacer, mediante un proceso de retrospección brutalmente honesto con nosotros mismos, debido a que quizás muchas veces la vida nos da las señales, pero somos nosotros los que proyectamos nuestros deseos y necesidades en el lienzo del mundo.","These personal interpretations, regardless of whether they are messages from the universe or not, are reflections of our desires, speaking to us so that if it happens to us, we could consider what we really want or what we know we should do, through a process of brutal retrospection. honest with ourselves, because perhaps many times life gives us the signs, but we are the ones who project our desires and needs on the canvas of the world."
"Sin prometida y sin alma gemela, el amigo de Jonathan le redacta una carta necrológica en la que concluye que para estar en armonía con el universo es esencial tener una fe profunda en lo que se denomina destino. Al final te doy mi interpretación de esto. Después de leer esta Carta, Jonathan termina en la misma pista de patinaje de aquella noche, así que toma asiento para contemplar.","Without a fiancée and without a soul mate, Jonathan's friend writes him an obituary letter in which he concludes that to be in harmony with the universe it is essential to have a deep faith in what is called destiny. In the end I give you my interpretation of this. After reading this Letter, Jonathan ends up at the same skating rink as that night, so he takes a seat to contemplate."
"A la par. Sara se despide de su amiga y nota que olvidó su chamarra en algún lado. Y ese lado es en la misma banca en la que Jonathan está sentado. El hombre, sin saber qué es de Sara, la toma casi por instinto y camina hasta el medio de la pista para sentarse. Mira su guante con nostalgia, ya que sabe que tanto al guante como él mismo les hace falta su par, mismo que perdieron hace muchos años.","At par. Sara says goodbye to her friend and notices that she forgot her jacket somewhere. And that side is on the same bench that Jonathan is sitting on. The man, not knowing what is with Sara, takes it almost by instinct and walks to the middle of the court to sit down. He looks at his glove with nostalgia, since he knows that both the glove and himself are missing his pair, which they lost many years ago."
"El chico se recuesta quemar las horas, pero en eso un extraño objeto cae del cielo. Jonathan toma el objeto y se da cuenta de que es un guante exactamente igual al suyo. Abrumado, se detiene, voltea lentamente a su espalda y ve azar igual de hermosa en la que la noche en la que un juntos empezó a existir.","The boy lies down to burn the hours, but just then a strange object falls from the sky. Jonathan takes the object and realizes that it is a glove exactly like his. Overwhelmed, he stops, slowly turns around behind him and sees chance just as beautiful as the night in which they began to exist together."
"Jonathan Se levanta, Sara se acerca tímidamente a la vez que el rostro de Jonathan de Ramones. Cuántas lágrimas. Ya no importa si solo fue coincidencia o así lo que hizo el destino. ¿Lo importante es que una vez más ambos estuvieron en el lugar indicado en el momento indicado y ahora la pregunta de la película, su destino estaba escrito en las estrellas y el universo conspiró para que ellos pudieran estar juntos o fueron las decisiones voluntarias de ellos quienes los juntaron?","Jonathan gets up, Sara timidly approaches the Ramones' Jonathan's face at the same time. How many tears. It no longer matters if it was just a coincidence or what fate did. The important thing is that once again they were both in the right place at the right time and now the question of the movie, their destiny was written in the stars and the universe conspired so that they could be together or were they their voluntary decisions? Who put them together?"
"Para mí la respuesta está en el punto medio. ¿Te explico, definitivamente hay cosas que no podemos controlar, ya eso es a lo que le solemos llamar universo, Dios, suerte o destino? La suma del todo, el funcionamiento del universo, las decisiones externas todo aquello que no controlamos configura la. Serie de circunstancias que se nos ponen enfrente pero, esto no es determinante porque nosotros a final de cuentas decidimos.","For me the answer is somewhere in the middle. Can I explain to you, there are definitely things that we cannot control, since that is what we usually call the universe, God, luck or destiny? The sum of the whole, the functioning of the universe, external decisions, everything that we do not control shapes the. Series of circumstances that are put in front of us, but this is not decisive because at the end of the day we decide."
"Interactuar con estas configuraciones y nuestra interacción con ellas va a determinar una nueva configuración de variables. Sí, el mundo los puso enfrente y les puso todas estas señales, pero fueron ellos quienes actuaron sobre ellas. Sara eligió voluntariamente tomar un vuelo hacia New York en busca de Jonathan, Jonathan decidió cancelar su boda.","Interacting with these configurations and our interaction with them will determine a new configuration of variables. Yes, the world put them in front of them and gave them all these signs, but they were the ones who acted on them. Sara voluntarily chose to take a flight to New York in search of Jonathan, Jonathan decided to cancel his wedding."
"Tomando todo esto en cuenta, quizás la virtud no esté en esta filosofía de decir, pues que pase lo que tenga que pasar, yo aquí me quedo esperando, sino quizás en decir haré lo que a mí me corresponde y que pase lo que tenga que pasar. Al final de esta historia, Sarah y Jonathan se acercan y ambos se extienden su mano para presentarse.","Taking all this into account, perhaps virtue is not in this philosophy of saying, well, whatever has to happen, I will stay here waiting, but perhaps in saying I will do what belongs to me and let whatever has to happen happen. pass. At the end of this story, Sarah and Jonathan approach each other and both extend their hands to introduce themselves."
"Una vez más se miran fijamente a los ojos y entonces se dan el beso más esperado de sus vidas, dando inicio a un nuevo comienzo. Creo que si con algo nos podemos quedar es con la síntesis, dejarle a Dios universo destino, suerte las cosas que escapen nuestro control para poder continuar tranquilos, pero también saber reconocer las cosas sobre las que sí tenemos control y actuar para cambiar aquello que esté en nuestras manos.","Once again they stare into each other's eyes and then give each other the most anticipated kiss of their lives, beginning a new beginning. I think that if there is one thing we can keep, it is the synthesis, leaving the destiny of the universe to God, the fate of the things that are beyond our control so that we can continue calmly, but also knowing how to recognize the things over which we do have control and act to change what is in our hands."
