Idiom,Part_of_Speech,Meaning,Example
crack,n.,joke; bad joke, 
crack,v.,"break into (a  safe or strong box, for example).",He cracked that safe in three minutes.
crack,n.,the line  between each side of the buttocks, 
crack (somebody) up,v.,make somebody  laugh, 
crack a book,v.,study; open a  textbook to study, 
crack gallery,n.,place where  crack is bought and sold, 
crackers,adj.,mentally  unstable; nuts; crazy, 
cram,v.,study at the  last minute for a test, 
cram it,exclam.,be quiet;  shut up.,"Oh, cram it. No one wants to hear about it anymore."
crank call,n.,telephone call  made to harrass or anger someone, 
crap,v.,defacate; move  one's bowls, 
crap,n.,dung; feces;  shit.,"Damn, there's bird crap on my car again."
crap,n.,nonsense;  rubbish; foolish talk or ideas, 
crap,n.,worthless junk, 
crap out,v.,avoid something  due to fear, 
crap-house,n.,outhouse;  outdoor toilet, 
crap-list,n.,list of  worthless or troublesome people, 
crapper,n.,toilet, 
crapper,n.,latrine;  bathroom, 
crappuccino,n.,"low-quality,  highi-priced cappuccino", 
crappy,adj.,lousy; poor  quality; undesirable, 
crash,n.,computer  failure, 
crash,v.,cease  functioning (usually computers).,My PC crashed again.
crash,v.,enter a party  or similar event without an invitatio, 
crash,v.,lose value quickly  and dramatically (said of financial markets), 
crash,v.,spend the night  somewhere.,I crashed at my friend's place because I didn't feel like driving  home.
crash and burn,v.,fail  dramatically (often in romance), 
crasher,n.,person who  shows up at a party uninvited, 
crater,n.,scar from acne, 
crater-face,n.,person with  severe acne or scars from acne, 
cream,v.,defeat somebody  (often in a game or other contest), 
cream,n.,semen, 
cream puff,n.,a weak-willed  person; a wimp.,He's a total cream puff. Why are you scared?
crew,n.,group that  works together (often applies to music), 
crib,n.,place where  thieves or prostitutes live and work, 
crib,n.,a dwelling or  home.,Come on and check out my crib. It's just around the corner.
crispy critter,n.,"burn victim,  usually with second- or third-degree burns.",One crispy critter coming in  from that apartment fire.
cristal,n.,methylenedioxymethamphetamine  (MDMA) (from Spanish), 
croak,v.,die, 
crock,n.,"a collection of  lies, deception, or misleading information", 
crock of shit,n.,"a collection of  lies, deception, or misleading informatio", 
crotch rot,n.,fungal itch or  rash in the crotch, 
crowd,v.,move into too  close to someone; put pressure on someone, 
crud,n.,junk; worthless  stuff.,Dump this crud already. It's all old and useless.
crud,n.,junk; worthless  stuff, 
cruddy,adj.,awful;  unpleasant, 
cruise,v.,drive around in  search of friends or fun, 
cruise,v.,travel in a  vehicle (usually a car) at high speed, 
crunchies,n.,ground troops;  ground infantrymen, 
crush,n.,"feeling of  love, romantic desire, or sexual attraction (usually among teenagers)", 
cuey,n.,cucumber, 
culsterfuck,n.,totally screwed  up situation or circumstances, 
cum,n.,semen, 
cum,v.,experience  orgasm, 
cunt,n.,"contemptible,  disgusting woman", 
cunt,n.,the femal  genetalia, 
cunt cap,n.,narrow green  Army cap (so called because of its shape), 
cuppa,abbr.,cup of  (usually tea), 
curly,n.,a bald man  (used as a nickname at times), 
cushy,adj.,easy; soft;  pleasant, 
cuss out,v.,curse someone;  scold someone, 
cut,n.,"share of booty,  loot, profits, or gains", 
cut,n.,single song or  track of music, 
cut,v.,"dilute or thin  something (liquid, drugs, etc.)", 
cut,v.,eliminate;  dismiss.,He got cut from the team.
cut,v.,adulterate  drugs, 
cut and run,v.,cease all  action and flee immediately, 
cut in line,v.,enter a line  ahead of other people, 
cut no ice,v.,have no effect  or influence on somebody, 
cut one,v.,fart; break  wind, 
cut some slack,idiom.,grant somebody time or space to accomplish something;  leave somebody alone.,"Cut me some slack. I've had a long, hard day."
cut somebody in,v.,allow somebody  to participate (in something), 
cut the cheese,v.,fart; break  wind.,"God, what a smell. Who cut the cheese?"
cut the crap,exclam.,stop  talking nonsense; cease lying, 
cut up,adj.,upset;  distressed, 
cut-rate,adj.,inexpensive;  cheap, 
cutter,n.,a person who  enters a line ahead of other people, 
CYA,abbr.,cover your  ass.,It's CYA time. We're being investigated.
cyberpron,n.,"pornography  online, particularly pornographic Web sites", 
cyberslut,n.,woman who will  swap email or chat online about sex, 
D,n.,"Detroit (used  with ""the"")", 
D.J.,n.,disc jockey.,That station's got the best D.J. in the business.
da bomb,n.,something  fantastic or wonderful.,Our party was da bomb.
daffy,adj.,mildly  eccentric; silly, 
daft,n.,foolish; silly, 
dagwood,n.,huge sandwich, 
daisy cutter,n.,"bomb (BLU-82,  15,000 lbs.) that burns away everything on the ground when detonated at a few  feet about ground level", 
damage,n.,cost; amount of  a bill, 
dame,n.,woman (old term  but still occasionally in use), 
damn,v.,curse; doom.,Damn you. How could you do that?
damn it,idiom.,oh no; oh dear; uh-ho (a strong expression of  surprise or frustration).,Damn it. I lost my car keys.
damn it to all hell,idiom.,oh no; oh dear; uh-ho (a strong expression of  surprise or frustration).,"Aw, damn it to all hell. My car was stolen."
damned,adj.,irritating;  annoying; frustrating.,That damned cat won't do anything I say.
darn,exclam.,damn (used  in place of damn to express anger or frustration), 
DD,abbr.,designated  driver, 
DDK,abbr.,designated  drunk, 
dead,adj.,quiet;  nothing happening; lifeless, 
dead,adv.,extremely;  totally; completely (used with adjectives to give emphasis).,You're dead  wrong about that.
dead meat,n.,dead person  (usually made in threat form), 
dead president,n.,paper money  (U.S.), 
deck,v.,knock someone  to the ground, 
deejay,n.,disc jockey, 
deep pockets,n.,a person with a  lot of money.,"They've got deep pockets, so it's not a waste of money for  them."
def,adj.,cool; nice;  excellent, 
def,adj.,cool;  wonderful; terrific, 
deli,adj.,of or like a  delicatessen, 
deli,n.,delicatesse, 
delish,adj.,delicious  (abbreviated form), 
delts,n.,deltoid muscles  (shoulder muscles), 
delts,n.,"deltoid  muscles, particularly when well developed", 
demi-veg,n.,quasi-vegetarian;  part-time vegetarian, 
desk jockey,n.,person who  works at a desk in an office, 
deuce,n.,2.5 ton truck;  medium-sized truck for cargo (from â€œdeuce and a halfâ€), 
deuce and a half,n.,2.5 ton truck;  medium-sized truck for cargo, 
diarrhea of the mouth,n.,alleged medical  condition when someone speaks excessively, 
dicey,adj.,risky;  difficult; tricky, 
dick,n.,detective, 
dick,n.,dumb person  (usually a man), 
dick,n.,nothing;  nothing at all, 
dick,n.,penis, 
dick,n.,the penis, 
dick,v.,have sexual  intercourse with a woman, 
dick around,v.,waste time;  mess around, 
dickhead,n.,stupid person, 
diddly-shit,n.,nothing at all;  worthless; useless, 
diddly-squat,n.,nothing;  nothing at all, 
diddly-squat,n.,nothing;  nothing at all.,You don't know diddly-squat about this.
dig,v.,comprehend;  understand; appreciate, 
digs,n.,home, 
dike,n.,lesbian, 
dimple,n.,dent in a car, 
ding,v.,dent; damage;  bump into (something), 
ding-dong,n.,dumb person  (male or female), 
ding-dong,n.,penis, 
dipshit,n.,jerk; twit; oaf, 
dipstick,n.,jerk; twit; oaf, 
dirt,n.,scandal; story  with sordid details, 
dirt,n.,"worthless,  pathetic people", 
dish,n.,sexually  appealing woman, 
dishy,adj.,sexy;  sexually appealing (said of women), 
ditch,v.,get rid of;  abandon (somebody or something).,"Oh, just ditch him. No one wants him  anyway."
ditsy,adj.,spacey; flakey;  absentminded person, 
ditzy,adj.,spacey;  flakey; absentminded person, 
ditzy,n.,"person who is  spacey, flakey, or absentminded (usually applied to women)", 
DNR,abbr.,do not  resuscitate (in case of cardiac arrest or other systemic failure).,There's a  DNR order on his chart.
do,n.,hairdo;  hairstyle, 
do,n.,party; event, 
do,v.,serve a  particular purpose well, 
do,v.,have sexual  relations, 
do a job on,v.,destroy; ruin;  harm (somebody or something), 
do a number on,v.,betray; deceive  (somebody or something), 
do lunch,v.,eat lunch with  another perso, 
doc-in-a-box,n.,a small  emergency medical clinic.,He injured his finger and got it stiched at a  doc-in-a-box.
doctor shopping,n.,practice of  going from doctor to doctor to obtain prescriptions for pharmaceuticals, 
dodgy,adj.,dangerous;  risky, 
dodgy,adj.,dishonest.,"Seems a bit dodgy to me, that guy."
dodgy,adj.,unreliable or  poor (quality), 
dog,v.,berate;  criticize (someone), 
dog,v.,pursue; stalk;  track (someone).,Stop dogging me. Leave alone.
dog,n.,ugly woman, 
dog days,n.,"very hot, sunny  days in August", 
dog meat,n.,dead person  (usually made in threat form), 
doggie bag,n.,a small  container of food leftover from a meal at a restaurant.,I'll take home the  rest in a doggie bag.
doggie bag,n.,bag or  container for leftovers in a restaurant so they can be eaten at home, 
doggy bag,n.,bag or  container for leftovers in a restaurant so they can be eaten at home, 
d'oh,exclam.,"damn;  shit; ouch (popularized in ""The Simpsons"").","Don't say  ""d'oh"". You sound like Homer Simpson. Alternative spelling: duh"
doll,n.,woman (old term  but still occasionally in use), 
dome of obedience,n.,helmet made of  Kevlar, 
Dominoid,n.,person who  works at Domino's Pizza, 
donorcycle,n.,"motorcyle to medical practitioners, so called because of the high rate of death caused by riding on them, which results in organs available for donation", 
doo,n.,hairdo;  hairstyle, 
doo-doo,n.,dung; feces;  shit, 
doofus,n.,jerk; twit; oaf, 
dope,n.,dumb person, 
dope,n.,gossip; news;  informatio, 
dope,n.,"drugs,  especially marijuana or heroin", 
dork,n.,"worthless, dumb  person", 
dorkette,n.,"female dork;  dumb, incompetent woman", 
dorky,adj.,weird;  strange; unappealing, 
dosh,n.,money; cash, 
double dipper,n.,person who  receives compensation inappropriately from two sources, 
douche bag,n.,"horrible,  retched person", 
dough,n.,money; cash.,Where'd you get the dough to pay for that TV?
down,adj.,finished;  done, 
down,adj.,in a losing  position; having the lesser score, 
down,v.,eat or drink  rapidly, 
down and out,adj.,having no  money or place to live; in the gutter, 
downer,n.,"a  disappointing, depressing event or situation", 
downer,n.,depressants, 
DQ,abbr.,Dairy Queen, 
drag,adj.,"dull,  annoying person", 
drag,n.,puff of a  cigarette, 
drag,n.,"something boring,  dull, unentertaining, or uninteresting", 
drag,n.,"women's  clothes, when worn by men", 
drag,v.,inhale or puff  on a cigarette, 
dragster,n.,car for drag  racing, 
drat,exclam.,darn (used  in place of damn to express anger or frustration), 
dreck,n.,dirt; feces; crap;  garbage, 
drink,v.,use gasoline  (said of cars), 
drop,v.,knock someone  to the ground, 
drop the ball,v.,blunder; fail, 
druggie,n.,drug user; drug  abuser, 
duby,n.,"marijuana Alternative spelling: dooby, doobie", 
dude,n.,male friend;  guy (also used to address a man), 
dullard,n.,"dumb, idiotic person", 
dumb-ass,adj.,dumb; stupid;  idiotic, 
dumb-ass,n.,"dumb, idiotic  person", 
dumbfuck,n.,"stupid, idiotic  person", 
dummy,n.,"dumb, idiotic  person", 
dump,n.,act of moving  one's bowels, 
dump on,v.,criticize or  scold somebody, 
dupe,n.,"target for  deception, lying, or a con", 
dupe,v.,"fool, trick, or  swindle somebody", 
dust,v.,win by a large  margin, 
dust,n.,cocaine, 
dust,n.,PCP, 
dust-up,n.,fight;  conflict.,I had a little dust-up with my boss yesterday.
dweeb,n.,very  hardworking student, 
dyke,n.,lesbian, 
dynamite,adj.,good; great;  excellent (not used much anymore), 
E,n.,Ecstasy  (methylenedioxymethamphetamine; MDMA), 
earful,n.,large quantity  of gossip, 
earful,n.,scolding;  tirade; verbal assault, 
eary-bird special,n.,meal at reduced  price in a restaurant for patrons who arrive early, 
easy as pie,idiom.,simple; very easy.,This job is easy as pie. No  problems.
easy mark,n.,"somebody easily  fooled, tricked, or deceived", 
eat,v.,pay for the  costs or expenses associated with something, 
eat,v.,worry or bother  (somebody).,What's eating you? Why so upset?
eat,v.,perform oral  sex, 
eat shit and die,abbr.,take what is  coming to you; take what you deserve (, 
eco freak,n.,somebody  greatly concerned about the state of the environment, 
eco nut,n.,somebody  greatly concerned about the state of the environment, 
effing,adj.,fucking, 
effinig around,v.,fucking around, 
eighty-six (86),v.,eliminate  someone or something; nix.,86 it.
el cheapo,adj.,"cheap,  inexpensive", 
el cheapo,n.,"cheapest one,  choice, or option", 
el-tee,n.,second  lieutenant, 
emo,adj.,"overly emotional, mushy, or sentimental", 
empty calories,n.,food with  little or no nutritional value, 
enforcer,n.,bodyguard;  thug; tough guy, 
"enough, already",exclam.,stop what  you are doing; that is sufficient, 
EPW,n.,enemy prisoner  of war, 
evil,adj.,excellent;  good, 
excellent,exclam.,"good,  great, terrific", 
eyeball,v.,"look closely  at, stare at, examine visually", 
eyepopper,n.,something or  somebody very appealing, 
eyepopping,adj.,very  appealing or attractive, 
F2F,n.,face to face, 
fab,adj.,fabulous  (abbreviated form), 
fab,adj.,fabulous;  terrific, 
face man,n.,handsome man  with little personality, 
face time,n.,"time in which  two people meet in person, as opposed to communicating by email or telephone", 
face-off,n.,confrontation  (from sports), 
fade,v.,leave; depart;  go away, 
faff,n.,ineffective  action or activity, 
faff,v.,do something  ineffectively, 
faff about,v.,do something  ineffectively, 
fag,n.,male homosexual, 
faggot,n.,male homosexual, 
fairy,n.,male homosexual, 
falsies,n.,artificially  enlarged breasts (either through surgery or padding).,"Nice falsies on her,  but I'd rather have the real thing."
family jewels,n.,testicles.,Careful with the family jewels.
fancy,v.,like; find  appealing; enjoy.,You fancy him? Why? He's such a nerd.
FAQ,abbr.,frequently  asked questions, 
far out,adj.,cool; nice;  excellent, 
far out,adj.,rarefied;  obscure; difficult to comprehend, 
fart,n.,sound or smell  or a release of intestinal gas, 
fart,v.,release gas.,Who farted?
fart,n.,"dumb,  undesirable person (usually male).",Who's that old fart?
fart around,v.,waste time;  mess around, 
fart sake,n.,bedroll;  sleeping bag, 
fascinoma,n.,"any interesting  or amusing medical condition, particularly tumors and malignancies", 
fast buck,n.,easy money;  income easily earned, 
fast mover,n.,high-speed  aircraft or ground vehicles, 
fast track,n.,path of rapid  rise through an organization or situation, 
fast-track,v.,move something  or somebody quicky through an organization or situation, 
fat,adj.,well-stocked;  having sufficient or excess of something.,He's fat with cash now that he  received his bonus.
fat lip,n.,swollen lip  resulting from a blow to the mouth, 
fat-ass,adj.,said of a person  with a large butt, 
fat-assed,adj.,said of a  person with a large butt, 
FCOL,abbr.,for crying  out loud, 
fender-bender,n.,minor collision  between automobiles, 
fiddlesticks,exclam.,drat; darn  (used in place of shit to express anger or frustration), 
F-ing,adj.,fucking, 
F-ing around,v.,fucking around, 
fink,n.,informer;  someone who reveals secrets, 
fink on somebody,v.,betray  somebody; reveal secrets about somebody, 
first base,n.,the act of  kissing (as a step in increasing levels of sexual intimacy).,First base? Is  that all? Just kissing?
first daddy,n.,first sergeant, 
first shirt,n.,first sergeant, 
five by five,idiom.,okay; all's well; all's good; everything is fine.,Five by five. We're ready to start.
five-finger discount,n.,shoplifting;  stealing from a store, 
fix,n.,bribe; money  paid to effect an outcome.,The fix is i
flack,n.,criticism;  complaints, 
flak,n.,criticism;  complaints, 
flake,n.,"a silly, giddy  perso", 
flaky,adj.,spacey;  absentminded; unreliable, 
flame,n.,angry message  or personal attack online, 
flame,v.,post an angry  message or personal attack online, 
flame war,n.,exchange of  angry messages or personal attacks online, 
flash,n.,a sudden idea  or memory.,I had a flash of inspiration this morning.
flash,n.,very brief  amount of time.,It happened in a flash.
flash,v.,show or reveal  something briefly, 
flash-to-bang time,n.,"interval from  an artillery gunâ€™s recoil to the explosion of the shell fired (the shorter,  the better in combat)", 
flat,adj.,carbonated  beverage that has lost its carbonizatio, 
flat,adj.,said of a  woman with small breasts, 
flat-chested,adj.,said of a  woman with small breasts, 
flea,n.,internist;  doctor who specializes in internal medicine, 
flexitarian,n.,vegetarian who  sometimes eats meat or fish, 
flick,n.,"movie, film.",Let's see a flick tonight.
flip,v.,go crazy; go  nuts, 
flip one's lid,v.,go crazy; go  nuts, 
flip one's wig,v.,go crazy; go  nuts, 
flip out,v.,go crazy; go  nuts; lose control, 
flip side,n.,"other side of a  story, argument, or claim", 
flip side,n.,"return trip,  esp. for a long trip", 
flip side,n.,opposite side  of a phonograph (vinyl) record, 
FLK,abbr.,funny-looking kid (used in nursery), 
flub something up,v.,mess up; make  mistakes; do something incorrectly, 
fly,adj.,stylish;  attractive; appealing, 
flying,adj.,under the  influence of drugs, 
foam,n.,beer, 
fob,v.,attempt to  satisfy somebody using deception, 
FOB,abbr.,forward  operating base, 
fobbit,n.,soldier in a safe  place; soldier who never leaves the FOB (forward operating base), 
FOOBAR,abbr.,"fucked up  beyond all recognition; very gravely damaged or in very poor condition (n.b.:  the ""oo"" reflects the pronunciation of the acronym).",The project?  Totally fubar.
fooey,n.,nonsense;  rubbish; foolish talk or ideas, 
foot it,v.,walk or run  somewhere, 
footy,n.,"football  (soccer to Americans, though more vigorous and even violent than the soccer  played elsewhere)", 
Fort Living Room,n.,home; civilian  life, 
fossil,n.,"old-fashioned,  outmoded person", 
fox,n.,"attractive,  sexy young woman (though sometimes said of men)", 
fox,v.,fire a weapon  (from an aircraft), 
foxy,adj.,sexy (for  women in particular), 
foxy lady,n.,sexy woman, 
frag,n.,fragmentation  grenade, 
frag,n.,wound or kill  using a fragmentation grenade, 
fragged,adj.,"damaged,  destroyed, ruined", 
frak,n.,"fuck (from the  TV series ""Battlestar Galactica; all variants of fuck are reproduced with  frak)", 
frankenfood,n.,genetically  engineered or modified food, 
frantic,adj.,"fun, wild,  amazing", 
freak,v.,lose control;  panic, 
freak,n.,frequency (for  radio communications), 
freak out,v.,lose control;  panic, 
freak somebody out,v.,"stun, surprise,  or shock somebody", 
freaked,adj.,stunned;  shocked; surprised, 
freaked out,adj.,stunned;  shocked; surprised, 
freaking,adj.,unsuitable;  unacceptable; upsetting, 
freebasing,n.,smoking crack  cocaine, 
freebee,n.,something free, 
freebie,n.,something free, 
freegan,n.,person who only  eats food that can be gotten for free, 
freeze,v.,ignore or  reject somebody, 
frell,n.,"fuck (from the  TV series ""Farscape""; all variants of fuck are reproduced with frell)", 
French,adj.,of or  pertaining to oral sex, 
French,n.,oral sex (the  act itself), 
French,v.,kiss using the  tongue, 
French,v.,perform oral  sex on somebody, 
French kiss,n.,kissing with  the tongue, 
French kiss,v.,kiss using the  tongue, 
fresh,adj.,stylish; new;  appealing, 
fresh off the boat,adj.,newly arrived  (usually from another country), 
Freud squad,n.,psychiatrists, 
fricking,adj.,poor; lousy;  frustrating, 
friendlies,n.,"allies, whether  civilian or military", 
frigging,adj.,poor; lousy;  frustrating, 
frigid,adj.,sexually  disinterested; not into sexual activity.,"She's so frigid, she won't even  kiss me."
frikking,n.,"annoying;  irritating; damned (from ""fucking"")", 
from the get-go,adj.,from the  outset; from the start, 
frosty one,n.,beer (esp. cold  beer), 
froth,n.,beer, 
fruit,n.,male homosexual, 
fruit salad,n.,rows of  campaign ribbons on a uniform, 
fruitcake,n.,male homosexual, 
fruitcake,n.,person who acts  childish or silly, 
fruity,adj.,of or  pertaining to silly behavior, 
FUBAR,abbr.,fucked up  beyond all recognition; very gravely damaged or in very poor condition, 
fuck,n.,sexual  intercourse.,She's a great fuck.
fuck,v.,have sexual  intersource with.,They fucked all night long.
fuck,exclam.,"strong  expression of frustration, anger, or impatience.","Oh, fuck, I forgot."
fuck,v.,damage or ru, 
fuck (someone) over,v.,take advantage  of; exploit; abuse.,Don't try to fuck me over.
fuck (something) up,v.,damage or  mangle something.,I totally fucked up the test.
fuck about,v.,"spend time  doing minor, irrelevant things.","Stop fucking about, you've got work to do."
fuck around,v.,"spend time  doing minor, irrelevant things.",Don't fuck around anymore.
fuck friend,n.,a friend one  has sexual relations with; a friend with benefits.,I'm off to see my fuck  friend for some fun.
fuck it,exclam.,"strong  expression of frustration, anger, or impatience.","Fuck it, I've had it."
fuck like bunnies,v.,have sex regularly  and repeatedly, 
fuck like rabbits,v.,have sex  regularly and repeatedly, 
fuck me,exclam.,"strong  expression of surprise, shock, or dismay.",Fuck me. I don't believe it.
fuck off,v.,imp. go away;  shove off.,"Fuck off, all of you, right now."
fuck up,v.,make an error;  screw up; make a mistake; do something badly or incorrectly.,We really  fucked up
fuck with somebody,v.,threaten  somebody; mess with somebody; irritate somebody, 
fuckwit,n.,"dumb, stupid person", 
fuck with something,v.,tinker or play  with something, 
fuck you,v.,imp. strong  expression of anger directed at someone.,Fuck you. I'm sick and tired of  your shit.
fucker,n.,a person with  many negative traits (used pejoratively or disparagingly; rarely used for  women).,He's suck a fucker.
fucking,n.,the act of  having sexual intercourse.,Their fucking is so incredibly noisy it kept me  up all last night.
fucking,adj.,"used to  emphasize or stress the importance of the following words; very, extremely  (intonation indicates if good or bad is meant).",You're fucking nuts; I can't  believe this fucking weather.
fucking A,exclam.,a strong  expression of satisfaction or delight.,A raise!? Fucking A!
fuck-me shoes,n.,very high heels  that make a woman sexier, 
fudge,exclam.,drat; darn  (used in place of fuck to express anger or frustration), 
fudge packer,n.,man who engages  in anal sex with another man, 
fugly,adj.,fat and ugly, 
full bird,n.,"full colonel,  as opposed to a lieutenant colonel, which is one rank lower (in the U.S. Army)", 
full bull,n.,"full colonel,  as opposed to a lieutenant colonel, which is one rank lower (in the U.S. Army)", 
full of it,adj.,"lying; dumb  (from ""full of shit"").","He's so full of it, no one should believe  anything he says."
full of shit,adj.,lying; dumb.,You're so full of shit.
funk,n.,depression;  depressed mood.,"Why the funk? What's wrong? 2. He's always in a funk, no  matter how good things are."
funk,n.,stench; bad  smell.,Quite a funk here. Do you ever clean this place?
funky,adj.,smelly;  stinky.,What's that funky odor? Did something die? 2. The cat's litter box  is getting funky.
funky,adj.,strange;  peculiar; odd.,"""Play that funky music, white boy"" (song lyrics)."
furball,n.,chaotic combat  among many aircraft, 
fuzz,n.,police; police  officer.,"Quick, run, the fuzz is here."
FWIW,abbr.,for what  it's worth, 
F-word,n.,"the word  ""fuck"" (said to avoid using the actual word).",The F-word was  reportedly used on the Senate floor today.
G,n.,thousand  dollars, 
G2G,abbr.,got to go, 
GAL,abbr.,get a life, 
gang-bang,n.,group rape (men  on one woman), 
gang-bang,n.,many men having  sex with one woman one after another, 
gangbanger,n.,member of a  street gang, 
gangsta,adj.,of or  pertaining to a gang or gang member.,Don't give me that gangsta attitude.
gangsta,adj.,or or  pertaining to gangsta rap or anything related to it, 
gangsta,n.,member of a  gang, 
gas guzzler,n.,vehicle that  uses a lot of gasoline, 
gat,n.,gun; firearm, 
gate-crasher,n.,person who  shows up at a party uninvited, 
gaydar,n.,sense or  intuition about who is homosexual (from gay + radar).,My gaydar is never  wrong. He's homosexual.
gazoo,n.,buttocks, 
g'day,idiom.,"hello; how are you; how's it going (abbreviated from  ""good day"" but used in all contexts).","G'day, mate."
gearhead,n.,"person who  enjoys working on cars, particularly his or her own", 
get a life,exclam.,make major  changes to your life, 
get bent,exclam.,go away;  drop dead (used to reject something or as a retort), 
get cracking,v.,hurry up; get a  move on; get started, 
get down,v.,concentrade  hard, 
get down,v.,have sexual  relations, 
get fucked,v.,have sexual  intersource with someone.,I got fucked last night
get fucked,v.,be exploited or  taken advantage of.,We were totally fucked by that computer saleman.
get hooked,v.,become addicted  (usually to drugs), 
get into something,v.,become very  interested in something, 
get it,v.,be punished or  chastized.,You're gonna get it if you don't stop now.
get it,v.,"understand (a  joke, information, an idea)", 
get it on,v.,have sexual  relations, 
get it up,v.,achieve  erection, 
get made,v.,be identified  as; be caught as.,He got made as a cop and was killed.
get made,v.,become part of  a group; be allowed to join a group.,He got made in the Mafia when he was  only seventeen.
get naked,v.,enjoy oneself a  lot; relax, 
get off,v.,derive pleasure  (from doing something), 
get off my ass,v.,stop it; leave  me alone; let me be, 
get off my back,v.,stop it; leave  me alone; let me be, 
get on,v.,have (usually  good) relations with somebody, 
get on in years,v.,grow old;  become older, 
get one's rocks off,v.,have sexual  relations; ejaculate (said of men only), 
get one's shit  together,v.,become  organized; gather one's possessions, 
get out of here,exclam.,no way;  that can't be right; that's wrong, 
get out of my face,exclam.,do not  argue with me; make room; make space, 
get real,v.,behave or act  practically.,"Oh, come on, get real, will you?"
get somebody's motor  running,v.,excite  somebody; make somebody enthusiastic or sexually aroused, 
get to first base,v.,kiss someone.,I got to first base with her last night.
get to somebody,v.,"irritate,  annoy, or bother somebody.","He really got to you, didn't he?"
get with it,v.,hurry up; get a  move on; get started.,"Get with it already, we've got to go."
get with it,v.,make one's  ideas and actions current.,"Come on, get with it. You're so behind the times."
get your ass in gear,exclam.,get  moving; get going; get started.,Get your ass in gear. It's time for school.
ghetto blaster,n.,"large, portable  stereo radio/cassette/CD player.",Turn down that damn ghetto blaster.
ghetto box,n.,"large, portable  stereo radio/cassette/CD player", 
gig,n.,a one-shot job  or task (said often by people in the entertainment business), 
gimp,n.,person who  limps; a crippled person, 
git-go,n.,the start; the  absolute beginning, 
give a flying fuck,v.,not care at  all; have absolutely no interest whatsoever.,Who gives a flying fuck? 2. Why  should I give a flying fuck about that?
give a shit,v.,care; have an  interest in (usually used with a negative connotation).,Like I give a shit.  2. I don't give a shit.
give it a rest,v.,shut up; stop  talking; stop talking about something, 
give it up,v.,stop now; quit  now, 
give me a break,v.,that's enough;  lay off; no more, 
give me five,v.,a request to  touch hands as a form of greeting or agreement, 
give me some skin,v.,a request to  touch hands as a form of greeting or agreement, 
give some sugar,v.,kiss  affectionately (used by older people toward children; not common), 
GJ,abbr.,grapefruit  juice, 
glad rags,n.,fancy clothing;  one's best closthing (anachronistic), 
glad-hand,v.,treat somebody  very enthusiastically, 
glad-hander,n.,somebody who is  very enthusiastic and friendly, 
glitch,n.,defect; flaw;  bug; problem, 
glitz,n.,"glamour;  flashy, showy style", 
glitzy,adj.,glamourous or  stylish in a flashy way, 
GLM,abbr.,good-looking  mother (used in pediatrics), 
GMTA,abbr.,great minds  think alike, 
gnarly,adj.,dangerous;  risky.,"Gnarly waves today, you know."
go,n.,an attempt; a  try, 
go apeshit,v.,become excited  or upset.,He went apeshit when he heard he was going to be laid off.
go bananas,v.,"become slightly  anxious, agitated, or crazy", 
go belly up,v.,die, 
go belly up,v.,fail; perform  poorly, 
go belly-up,v.,fail; go  bankrupt.,Enron went belly up after it's scandal.
go belly-up,v.,fail; go  bankrupt, 
go blooey,v.,fail; fall  apart; cease to function, 
go climb a tree,v.,go away; get  out, 
go down,v.,be accepted or  received, 
go down,v.,happen; occur;  take place, 
go down in flames,v.,fail  dramatically, 
go down on somebody,v.,give oral sex  to somebody, 
go down the chute,v.,faill  completely, 
go down the tube(s),v.,faill  completely, 
go flooey,v.,fail; fall  apart; cease to function, 
go fly a kite,v.,go away; get  out, 
go for it,v.,give it a try;  do it;, 
go fuck yourself,v.,a strong insult  intended to reject or disparage another perso, 
go home in a box,v.,be transported  back home in a coffin (i.e.: dead), 
go jump in a lake,idiom.,leave; get out; go away.,Go jump in a lake. No one  wants you here.
go jump in a lake,v.,go away; get  out, 
go postal,v.,go berserk; go  crazy; become violent, 
gob,n.,mass or hunk of  something; a large amount of something, 
gofer,n.,somebody whose  job is to fetch or bring trivial items to more important people, 
GOK,abbr.,God only  knows (what is wrong with the patient), 
gold brick,v.,avoid work;  hide from a task or assignment.,Stop gold bricking and get back to work.
gold digger,n.,woman seeking a  relationship partner for money, 
golden,adj.,cool; nice;  excellent.,We're golde
Golden State,n.,California, 
gomer,n.,"dumb, oafish  person", 
gomer,n.,"person thrown  out of an emergency room due to repeated or inappropriate visits (short for  ""get out of my ER"")", 
gone,adj.,asleep;  unconscious, 
gonzo,adj.,out of  control; wild, 
gonzo,n.,foolish or  silly person, 
goo,n.,sticky  substance, 
goober,n.,pimple, 
good fuck,n.,a person who  performs well sexually (usually used to describe a woman).,"She's a good  fuck, but otherwise a pain."
good vibes,n.,positive  feelings, 
goodie,n.,"something good,  favored, or appealing", 
goody,n.,"something good,  favored, or appealing", 
goody two-shoes,n.,person who  follows all the rules and expectations of society and culture perfectly.,Don't be such a goody two-shoes. You never do anything fun.
goof,n.,error; mistake;  blunder.,What a goof! I'll never be able to fix it in time.
goof around,v.,waste time;  mess around.,Stop goofing around and get some work done.
goof off,v.,waste time;  mess around, 
goof up,v.,make errors;  mess up, 
goofball,n.,foolish or  silly person who wastes time.,You're such a goofball. You'll never amount to  anything.
