Idiom,Meaning,Example,Part_of_Speech
Bite your arm off, don’t be alarmed if someone says this. No one is about to literally bite off any part of your anatomy. It is used to describe willingness. For example someone might say to you ”they will bite your arm off if you offer to write their essay.”,,
Brassed off, considering the Brits are good at hiding their emotions we still have plenty of words to describe when we are not happy with something. One of which is “brassed off”.,,
Bits ‘n Bobs," is used these days when you want to say you have an odd selection of things for example you could say “I have a few bits’n bobs in the fridge. I’ll see what I can make”. However, it was originally used to describe loose change in your pocket.",,
Bob’s your uncle," the origins of this saying and how it is used today differ. The saying originally meant you could get anything or do anything if you had the right connections because it came about after the 20th British Prime Minister, Lord Salisbury, famously appointed a nephew into an important political post for which he didn’t have the relevant experience. Today it is more commonly used to say everything is OK.",,
Butcher’s hook,originates from the East End of London and is a rhyme slang for take a look.,,
Cheerio, No it is not just a breakfast cereal but also one of the many words used to say goodbye in the UK. “Ta ta” is popular in the North of England and you will also hear “laters” and “see ya”.,,
Cheesed off," is a quirky euphemism for being unhappy. Obviously, you would be unhappy if your cheese went off! It can be used in casual and formal situations for example someone could say “I’m cheesed off that you ate the last piece of cake.”",,
Chin wag, means to have a long chat and its origins come from a Welsh word meaning empty. It is believed that the word originates from a pub in North Wales where the landlady would ensure people drunk more than they intended by going around with a jug of ale and toping people’s glasses up by saying “chin wag” – which is Welsh for your cup is empty.,,
Don’t teach your grandmother to suck eggs, you may hear someone more senior in years saying this to a younger person when they feel the youngster is being disrespectful by thinking they can teach the older person something.,,
Dishy, is used to describe someone who is attractive.,,
Don’t cry over spilt milk, someone may say this if you get something wrong or actually spill or break something. The essence of the saying is that you shouldn’t worry about it.,,
Daft cow,is used amongst friends and is an affectionate way of making fun of a female friend when they have done or said something silly. Be aware the meaning changes dramatically when you say this to a stranger!,,
Donkey’s years, Apparently donkey’s live for a long time so when someone say’s “I haven’t seen you for donkey’s” they are saying they haven’t seen you in a long time.,,
Dive, is used to describe a place that isn’t very nice. Someone may say to you “It’s a dive but the drinks are cheap”,,
Easy peasy, A fun and childish way of expressing something is easy to do or understand. We dare you to use it next time your lecturer is explaining something.,,
Effing and blinding," this expression is used to describe someone who is using unpleasant language. For example, you might hear “She was so angry that she was effing and blinding all the way home!”",,
Eejit, an Irish-based pronunciation of the word “Idiot.”,,
Elevenses, a mid-morning snack before lunch that normally includes a cup of tea and a biscuit.,,
Earful," is an expression used to describe someone who is being told off. For example, you may hear someone say “They got an earful for being so loud last night.”",,
Full of beans , full of beans means someone is very energetic and vivacious.,,
For crying out loud," This is a replacement for a rude word. For example, you discover your bike has a flat tyre & you yell “Oh, for crying out loud!”",,
Faff around," If you’re faffing around you look busy, but you’re achieving very little. For example: “I told him to stop faffing around and wash the dishes.”",,
Flogging a dead horse, to try and find a solution to a problem that is unsolvable. For example: “You’re flogging a dead horse by asking Martha to move to the UK – she hates rain”,,
Going to a do, student life wouldn’t be student life without a fair dose of parties and if someone invites you to a “do” say yes because they are inviting you to a party!,,
Gobsmacked, if you are gobsmacked you are amazed by something or someone. In a good or bad way!,,
Grub, is slang for food and comes from the old English word meaning ‘dig’. The association with digging for food morphed into the slang we use today.,,
Gobby," is used to describe someone who talks a lot and has a lot of opinions, and not necessarily in a good way.",,
Hammered, is the slang word used to describe someone who is very drunk. You can say someone is tipsy if they appear to be a bit drunk.,,
Horses for courses, this is a popular saying that means that we all have different tastes and what is right for one person isn’t necessarily right for another person.,,
Hunky-dory, is just a cool way of saying that something is just fine!,,
I’ve come over all peculiar, is a peculiar saying used to describe someone who becomes unwell very quickly.,,
I’m not being funny but I haven’t got all day, this is a popular saying in Wales and simply means hurry up!,,
I’m easy, next time you are in a restaurant and your friends are debating what to order just say “order whatever. I’m easy”. That’s a signal that you’re happy with whatever they order.,,
I’m off to Bedfordshire, is rhyming English slang for when someone is tired and wants to go to bed. Get it?,,
It’s brass monkeys outside," is used when it is bitterly cold. The origins of this saying refer to the brass handles on doors which get very cold. This bit makes sense but the monkeys bit of this saying is baffling, even to the Brits.",,
Jammy, if you are a lucky person you might be described as flukey or jammy.,,
Jim jams, is slang for pyjamas and as a student you’ll hear “I think it’s time to put on my jim jams and get into bed – I’m exhausted!” – a lot!,,
Jar, is slang for a pint of beer. For example: “Let’s meet after the lecture for a few jars.”,,
Jiffy," this is a quintessentially British saying meaning you’ll do something immediately. You might say it to show you are keen, for example: “If you’re cooking dinner I’ll be there in a jiffy.”",,
Knees up, if someone says they went to “a right knees-up over the weekend” they are talking about a wild party. Your response should be why wasn’t I invited?,,
Kerfuffle, is a fuss or commotion. For example: “What’s all the kerfuffle about? I’m only two hours late!”,,
Keep your hair on, can you lose your hair if you get too angry or excited? That’s what this idiom suggests. For example: “Keep your hair on – I only accidentally deleted your dissertation.”,,
Kip, means sleep,,
Last order," you will hear bar staff, in pubs, shout this and ring a bell at 11pm or at 10.30pm on Sunday to let customers know they have 20 minutes in which to finish their drinks.",,
Lurgy, if someone has the lurgy stay away. It means they are ill and possibly contagious.,,
Let down, can be used in a multitude of ways and means you thought the experience was not good. For example: “That film was such a let down”,,
Lairy, used to describe a loud/brash person. For example: “Tom gets a bit lairy after a few drinks.”,,
Leave it out, means you want someone to stop doing or saying something that you find upsetting or annoying.,,
Minted," if someone is described as minted it means they are rich, so become their best friend immediately!",,
Mitts, a mitten is a kind of glove. But Brits have shortened the word and made it slang for hands. For example: “I’d love to get my mitts on a new camera!”,,
Mind your P’s and Q’s, means to be on your best behaviour. For example: “My parents are very conservative – mind your p’s and q’s.”,,
Miffed, is another way of saying you are confused or annoyed. For example: “She is really miffed that she’s not been invited to the party.”,,
Not my cup of tea, is a saying used when something is not to your liking. For example: “My boyfriend loves football but it’s not my cup of tea”.,,
Numpty," if someone does or says something inappropriate, wrong or a bit silly you might hear a Brit saying “You numpty you’ve got your T-shirt on back to front.”",,
Naff," is used to describe something that is of poor or inferior taste. Example: “I don’t like my flat, the furniture is a bit naff.”",,
Nosh, is slang for food. For example: “Shall we get some nosh before our lecture?”,,
Old chestnut, if you tell the same joke or story too many times your bored friends may say “oh no not that old chestnut again “ in a sarcastic voice.,,
On the lash," means to drink excessive amounts of alcohol and you may hear Brits saying, “Are you out on the lash tonight?”",,
Oh my giddy aunt, is another expression for “Oh my God!” and used to show shock or surprise.,,
One off, an expression used to describe something unique. For example: “I bought this one-off dress from a student studying fashion.”,,
Odds and sods, another way of saying ‘bits and pieces.’ For example: “My glasses were in the drawer with all the odds and sods.”,,
Piece of cake," to describe something as a “piece of cake” means you think it’s easy to do. For example, you might say “this essay is a piece of cake.”",,
Pip pip, an old-fashioned way of saying goodbye.,,
Plonk, is used to describe wine and the reference is that it isn’t the best quality wine.,,
Porkies," if you are accused of telling a “porkie” it’s serious. It means someone thinks you are lying. The saying comes from an old Cockney rhyme that used pork pies and substituted “pies,” for “lies” and it later got shortened to “porkies”.",,
Put a sock in it, If you have had enough of someone talking you can tell them to put a sock in it. It is totally fine to use amongst friends but even you think your lecturer is going on a bit we advise you keep the thought to yourself!,,
Quid, is slang for one-pound sterling.,,
Queenie, affectionate term Brits use to refer to Queen Elizabeth II (the current Queen),,
Quasimodo, is Cockney rhyming slang for soda water.,,
Quack, is slang for a doctor that is suspected of not have the correct qualifications,,
Queen mum, is Cockney rhyming slang for the backside (bum).,,
Queen of the south, is Cockney rhyming slang for mouth.,,
Reem," is English slang for something being nice, good or cool and originates from Essex. In fact, to learn how to speak like someone froEssex you should watch The Only Way Is Essex.",,
Rank," is slang for something that is horrible, in bad taste or actually smells unpleasant.",,
Rinsed," can be used in a couple of ways. The first is if you defeat someone in an argument, fight or other competition. The second context is when someone pays over the odds for something.",,
Rosie lee, is cockney rhyming slang for a cup of tea.,,
See a man about a dog," is what you say when you jokingly don’t want to reveal where you are going, such as going to the toilet.",,
Stop faffing around, If you hear this and it’s aimed at you. Finish off whatever you are doing fast! The implication is you are taking too long or you are not doing it efficiently.,,
Skive," If you don’t want to go to that 9 am lecture (understandable) or rather spend the afternoon in the student’s union then suggest skiving off to a couple of like-minded people, but be prepared to be labelled a skiver by your more studious class fellows.",,
Shirty, is one way to describe someone who is ill-tempered.,,
Stitched up," is when someone has taken advantage of you. For example, when a classmate nominates you to lead a presentation you can certainly claim to “have been stitched up.”",,
Shagged, This can mean a number of things some ruder than others. But the most common use is when someone is expressing how tired they are.,,
Taking the piss, If you hear this being used it means one person is shocked at what another person is doing or saying.,,
Throw a spanner in the works, you are likely to hear this saying when something goes wrong or someone makes a mistake.,,
Tickety-boo, means OK and may have originated from a Hindi word meaning everything is fine. It’s one of those nice-sounding words you will hear when someone wants to express everything is going exceptionally well.,,
The offie," The off-licence is the equivalent to an American convenience store, licenced to sell alcohol.",,
Trundle, means to move slowly and clumsily.,,
Umpteen," means a relatively large, but unspecified amount, of something and is generally used when someone is annoyed. For example, you may hear a Brit saying “For the umpteenth time, I said no I will not take the dog for a walk!”",,
Up for it," slang for being enthusiastic/willing to participate. For example: “I like bowling, I’m up for it tonight.”",,
Uncle ned, British slang for bed,,
Up the spout," when you have wasted something such as money. For example, “Everything I earned over the summer has gone up the spout trying to keep this flat warm.”",,
Under the cosh, is used when you feel under pressures or restricted. For example: “She is under the cosh to deliver that project on time.”,,
From the valley’s," an expression used to describe people from Wales, owing to the number of valleys (which is the low area between hills) in Wales.",,
V.A.T, is slang for vodka and tonic.,,
Veg-out," is slang for relaxing. As a student, you’ll want to veg-out every time an essay has been submitted. To veg-out properly you have to order pizza and find a really naff movie to watch in your jim-jams.",,
Vibe," is slang for feelings, atmosphere, mood. For example, you may go to a club and say “I like the vibe in here the music is reem.”",,
Vino, is English slang for cheap wine.,,
Watering hole, this is one of the many British slang words for a pub,,
Wonky," is another word for shaky or unstable. You can use it to refer to a person or an object. For example, you might say a chair has a wonky leg.",,
Wangle, means to get or do something that is a bit devious. For example: “I wangled an extension on my essay by telling the lecturer my cat died.”,,
Wee, is a Scottish word for small. In England it’s a euphemism for urine. Confused? Don’t be. If a Scottish person says they want a wee drink they want a whiskey. If an English person says they want a wee direct them to the nearest toilet!,,
Wind-up, If you wind someone up it means you are teasing or taunting them.,,
Well in it, an expression used when someone is in trouble,,
X-ray eyes," you might use the expression “have you got x-ray eyes” to question what a friend is telling you. For example, “How do you know Yinbo ate the rest of the pizza – do you have x ray eyes?”",,
Xtra, is used to describe something that is very good. You may hear “that double chocolate chip ice cream is xtra!”,,
Your round, if you go to a pub with a group of friends it is most likely that one person will buy the whole group a drink. This will continue until everyone in the group has bought a drink. If it is your turn someone may say “It is your round”.,,
You’re a keeper," used affectionately to describe someone who is nice or someone who has a good attribute. For example, you might hear “You can cook – you’re such a keeper.”",,
You what, mostly Brits use this when they haven’t heard or understood what was said. On some ocasions it might be used when someone disagrees with you. You’ll know which one it is by their tone and body language.,,
Yakking, used to describe someone who talks too much about things that aren’t of interest to you. Example: “My lecturer wouldn’t stop yakking on and on today.”,,
Yonks," when you haven’t seen someone for a long time. Example: “God, I haven’t been to a lecture for yonks!”",,
Yank my chain, if you tease someone about something they are sensitive about they could say to you “stop yanking my chain” to tell you to stop it.,,
Zonked, is used when someone is sleeping or by someone who is expressing they are super tired.,,
Zebra crossing, is often used to describe the black and white horizontal markings on the road where pedestrians can cross.,,
Catch a few Zzzzzzzzzz, is used when you want to go to sleep.,,
abs,abdominal  muscles.,Nice abs. You been working out?,n.
ace,best;  top-notch; most competent person, ,n.
ace,do extremely  well on a test or exam.,I aced that exam.,v.
acid,lysergic acid  diethylamide.,Have you ever dropped acid?,n.
acid head,user of LSD.,He was an acid head in college but hasn't used since.,n.
action,excitement;  activity in general; share of winnings or booty; sexual activity, ,n.
adult,sexually  explicit, ,adj.
AFAIK,as far as I  know (computers and Web usage).,"AFAIK, it's not a problem.",abbr.
AFK,away from  keyboard, ,abbr.
a-hole,"asshole; a very  annoying, dumb person (usually used in reference to men)", ,n.
air ball,a throw in  basketball that entirely misses the net.,Air balls all the time. You can't  ever make a shot.,n.
air boss,head of the  flight deck on an aircraft carrier.,Ask the air boss what to do about it.,n.
air rage,"passenger on an  airplane, who is out of control", ,n.
airhead,dimwit; stupid  person (usually said of women).,"She's a total airhead, can't even spell her  own name.",n.
all-nighter,"an activity  that goes on all night long (e.g.: party, study session, test preparation).",She pulled an all-nighter to finish her term paper.,n.
also-ran,somebody or  something that performs poorly in a race or other competitio, ,n.
ambo,ambulance, ,n.
Amped-out,fatigue after  using amphetamine, ,adj.
angel lust,death erection;  male cadaver with an erection, ,n.
angels,altitude in  thousands of feet, ,n.
anke biter,child; kid, ,n.
antifreeze,"liquor, usually  strong", ,n.
apeshit,excited;  upset.,He's apeshit about his new job.,adj.
apple,"native American  person who adopts the lifestyle, attitudes, and such of White people", ,n.
apples and oranges,two things that cannot be compared.,It's apples  and oranges. You can't compare them.,idiom.
appy,appendicitis;  appendectomy, ,n.
armpit,"an undesirable  place or location, often a city or state..",New Jersey was once called the  armpit of America.,n.
Army brat,child in a  regular Army family, ,n.
arse,ass; rear end;  buttocks, ,n.
as if,a strong  expression of disbelief said in response to something that is false but the  speaker wishes were true.,Go on a date with him. As if!,exclam.
ASL,"age, sex,  and location (question posed in chat rooms online)", ,abbr.
ass,"a worthless,  descpicable perso", ,n.
ass,a person (used  in reference to the entire person).,Get your ass in here right now.,n.
ass,a woman as a  sexual object.,I gotta get me some ass.,n.
ass,buttocks;  rear-end.,She's got a great ass.,n.
ass bandit,male homosexual, ,n.
ass wipe,an annoying  person of little or no value, ,n.
asshole,an annoying  person of little or no value.,Don't be an asshole. Try being nice for once.,n.
asshole,the anus; the  opening at the rectum, ,n.
ass-kisser,someone who  flatters for personal gain; a toady.,"He is such an ass-kisser, always  complimenting our boss.",n.
ass-licker,someone who  flatters for personal gain; a toady, ,n.
ate up,clueless;  stupid; incompetent; messed up, ,adj.
atomic wedgie,the act of  pulling the underwear of a boy up from behind so that it creates discomfort  around the genitals in a particularly harsh manner, ,n.
aural sex,phone sex, ,n.
Aussie,Australian  person, ,n.
awesome,great;  excellent, ,adj.
ax,saxophone;  other horn or similar instrument, ,n.
baby catcher,obstetrician, ,n.
back of beyond,"remote,  isolated area (often far from even a small town)", ,n.
backassed,backward;  poorly arranged or structured; awkward.,That was a backassed solution to the  problem.,adj.
back-ender,automobile  collision in which one car strikes the back or another, ,n.
backer,investor;  financial supporter, ,n.
bad,intense;  powerful; suitable; excellent, ,adj.
bad girl,woman who  behaves dangerously or irresponsibly by normal social standards, ,n.
bad guy,man blamed or  held responsible for something, ,n.
bad rap,a false  criminal accusation or convictio, ,n.
bad rap,"a poor  reputation, usually not deserved.","She's got a bad rap as a bitch, but she's  actually nice.",n.
bag,capture; seize;  arrest.,The cops bagged another pimp last night.,v.
bag,"an ugly,  usually older woman", ,n.
bag,use a bag  breathing apparatus to get air into someone's lungs (standard phrase in  medicine), ,v.
bag,condom, ,n.
bag man,"person who  transports money; a person who supplies narcotics or other drugs, a pusher", ,n.
bail,abandon;  depart; leave.,I bailed on my calculus class because I was tired.,v.
BAK,back at  keyboard, ,abbr.
baldie,bald man (used  as a nickname at times), ,n.
ball,"a good time;  great fun (at a party, etc.).",We had a ball at that party last night.,n.
ball,testicle, ,n.
ball,have sexual  intercourse with someone, ,v.
ball of wax,"whole  situation; all factors, elements, or aspects of something", ,n.
ballpark figure,estimate;  approximate figure, ,n.
balls,Indicates  disbelief or rejectio, ,exclam.
balls,courage; guts;  daring-do (usually used to describe men), ,n.
balls,testicles, ,n.
ballsy,aggressive.,Don't be so ballsy. People don't like it.,adj.
ballsy,daring;  courageous.,That was a ballsy maneuver. I'm surprised you tried it.,adj.
bamboozle,deceive or  confuse someone, ,v.
banana,"Asian person  who adopts the lifestyle, attitudes, and such of White people", ,n.
bandit,hostile  aircraft, ,n.
bang,a thrill;  something exciting, ,n.
bang,the act of  sexual intercourse, ,n.
bang,to have sexual  intercourse, ,v.
banger,sausage.,Want some bangers with that?,n.
barbie,barbeque grill;  grill.,Let's fire up the barbie and grill some burgers.,n.
barf,vomit; vomitus.,"Damn, there's barf in the bathroom agai",n.
barf,vomit, ,v.
barfly,person who  spends a lot of time at one bar drinking, ,n.
barista,espresso  bartender, ,n.
barkeep,bartender.,Barkeep! Two beers here.,n.
bashing,critiziing;  slandering; defaming (used after the object of the crticism in a combined  form).,Japan-bashing; China-bashing.,n.
baster baby,baby resulting  from artificial insemination, ,n.
battle rattle,"combat gear,  esp. Kevlar helmets and flak jackets", ,n.
bazillion,"a vast,  enormous, or indefinite amount.",I've got like a bazillion things to do.,n.
bazongas,breasts (on a  woman), ,n.
bazoo,mouth.,Shut  your bazoo right now.,n.
B-ball,baseball or  basketball.,How about some b-ball later?,n.
BC,birth control, ,abbr.
BCD,bad conduct  discharge, ,abbr.
BCGs,"birth  control glasses, i.e. military glasses that repel women because they are very  ugly", ,abbr.
BCGs,birth-control  glasses (so called because they were deemed so ugly that women would be scared  off), ,n.
be a snap,be easy; be  straight-forward; be simple.,"No problem, it's a snap.",v.
be all over,be done; be  finished; be completely finished.,t's all over now.,v.
be all over  (something),like  (something); be fascinated by; be obsessed by.,"He really likes her, he's all  over her.",v.
be bummed about,be depressed.,I'm so bummed that I ddin't get a raise.,v.
be buzzed,"be intoxicated,  tipsy, or under the influence (usually mild) of alcohol", ,v.
be down with that,agree; think similarly.,I'm down with that. You'll  get no argument from me.,idiom.
be fucked,find oneself in  a desparate or difficult situatio, ,v.
be on the rag,be  menstruating; be having one's period.,"She's on the rag, so sex was out of  th question.",v.
be out of here,be departing or  leaving right now; be thrown out of a game or party.,I'm out of here. No  point in staying.,v.
be shitting bricks,be extremely  frightened or nervous.,I was shitting bricks before the exam.,v.
Beamer,BMW automobile, ,n.
bean,his someone on  the head (often with a ball).,The batter got beaned by the pitcher.,v.
bean,the head, ,n.
Bean Town,Boston, ,n.
bean-counter,accountant;  statistician; someone who meticulously keeps track of numbers.,The bean  counters have decided we need to cut costs.,n.
beans,nonsense.,"Oh, beans.",n.
beans,nothing.,You  don't know beans about this,n.
bearded clam,female genitals, ,n.
beast with two backs,sexual  intercourse between two people, ,n.
beat,"exhausted,  very tired; worn out.","I'm beat, it's been a long day.",adj.
beat (one's) meat,masturbate (men  only), ,v.
beat off,waste time or  energy; do little or nothing, ,v.
beat off,masturbate (men  only), ,v.
beat the shit out of  (someone),physically  attack and abuse someone.,He beat the shit out of his brother when he found  out his brother broke his iPod.,v.
beautiful,excellent;  very pleasing; great, ,adj.
beauty spot,female genitals, ,n.
beaver,female genitals, ,n.
bed-hop,have sexual  relations with many people; sleep around, ,v.
beef,agrument;  disagreement.,I've got a beef with him about the rent.,n.
beef,objection;  problem.,What's your beef today?,n.
beefcake,a man with an  apppealing physique.,He's quite the beefcake.,n.
beemer,BMW automobile.,"Nice beamer, how'd you afford it?",n.
been around (the  block),experienced  (often sexually).,She's been around the block and knows what she's doing in  bed.,v.
beer,drink beer.,Beer me.,v.
beerbong,"a can of beer,  usually large, set up to be drunk in one go", ,n.
bells and whistles,"appealing,  non-essential features", ,n.
belly landing,aircraft  landing without use of wheels, ,n.
belly ride,sexual  intercourse between two people, ,n.
bellyaching,"act of  complaining, griping, or criticizing something or somebody", ,n.
bench,"remove a player  from a game (usually basketball, football, or baseball).",He got benched  after four missed throws.,v.
bench warmer,"a player who  remains on the bench, usually due to lack of skill.",He was a bench warmer  and never played in a single game.,n.
bent,angry; upset, ,adj.
bent,crooked;  dishonest.,Don't trust him. He's bent.,adj.
best bud,a close friend, ,n.
BFD,"big fucking  deal (i.e.: it's not important, significant, or interesting at all)", ,abbr.
bi,bisexual, ,adj.
bi,bisexual perso, ,n.
biatch,"woman (from  ""bitch"")", ,n.
Big Apple,New York City, ,n.
Big Blue,International  Business Machines (IBM).,Big Blue got downgraded last week.,n.
big cheese,boss; powerful  person in an organizatio, ,n.
big chicken dinner,jocular for bad  conduct discharge, ,n.
big gun,a powerful or  important perso, ,n.
big Kahuna,leader; head of  a group; powerful person in an organizatio, ,n.
big mouth,a person who  speaks loudly or says too much (often revealing secrets).,She is such a big  mouth and can't keep anything to herself.,n.
big stink,a scandal; a  major issue.,Don't make a big stink out of such a small problem.,n.
biggie,someone or  something of significance or importance, ,n.
biker,a person who  rides motorcycles, ,n.
bikini stuffers,breasts (on a  woman), ,n.
bimbo,sexually loose  or promiscuous woman, ,n.
bin,dispose of;  throw out; throw away.,"Just bin it, I don't want it anymore.",v.
bingo,minimum amount  of fuel needed to safely return to base.,"Bingo fuel. We're heading back,  now.",n.
bio,biology (class  or subject in school).,Bio is all right because we get to dissect,n.
bird,"odd, eccentric  person (anachronistic)", ,n.
bird,woman; female, ,n.
bird,aircraft;  airplane, ,n.
bird colonel,"full colonel,  as opposed to a lieutenant colonel, which is one rank lower (in the U.S. Army)", ,n.
bird-dog,monitor someone, ,v.
bird-dog,steal another  man's girlfriend, ,v.
birdseed,a minute amount  of money.,I'm getting paid birdseed for all my hard work.,n.
bit bucket,imagined site  where lost computer data ends up, ,n.
bitch,a woma, ,n.
bitch,complaint;  gripe.,What's your bitch now?,n.
bitch,"frustrating,  annoying activity.",This job's a bitch.,n.
bitch,complain;  gripe.,"It's always bitch, bitch, bitch with you.",v.
bitch,"unpleasant,  rude, or irritating woma", ,n.
bitch out,complain; gripe, ,v.
bitch session,"casual meeting  during which people complain, gripe, or air grievances.",Today's meeting was  really just a bitch session.,n.
bitch tits,growth of  breasts on a man; gynecomastia (n.b.: usually caused by steroid abuse), ,n.
bitchy,moody; rude;  spiteful (usually used to describe women).,She's really bitchy today.,adj.
bite,snack; small  meal, ,n.
black diamond,first sergeant  (named for the black diamond in the rank insignia in the U.S. Army), ,n.
black eye,espresso with  brewed coffee mixed in, ,n.
blade,"knife, usually  a larger, shiny one", ,n.
bleed like a stuck  pig,bleed profusely, ,v.
blimey,wow; oh  (used to express surprise or excitement), ,exclam.
bling,"diamonds or  other equally shiny, glittering jewelry.",Nice bling. How much did it all  cost?,n.
blissed (out),drunk from  alcohol or high on drugs, ,adj.
blissed (out),"emotionally  very pleased, happy, or content", ,adj.
blitz,devastating  assault, ,n.
blitz,attack someone  or something successfully, ,v.
blotto,very drunk;  highly intoxicated on alcohol, ,adj.
blow,setback;  hurdle; attack;, ,n.
blow (one's cool),become angry or  upset.,He blew his cool when he saw his ex-girlfriend out with a new guy.,v.
blow (one's top  (off)),become angry or  upset, ,v.
blow (someone) off,ignore or  neglect someone; reject or abandon someone.,She's totalling blowing me off.,v.
blow a fuse,become angry or  upset.,He blew a fuse when he found out he lost his job.,v.
blow a gasket,become angry or  upset.,She blew a gasket when she heard her house was robbed.,v.
blow it out your ear,go away; no way  (expression of disbelief).,Blow it out your ear! No one cares.,v.
blow job,oral sex given  to a penis, ,n.
blow off,waste time.,I blew off the evening playing with my Wii.,v.
blow smoke,con; deceive;  swindle; cheat, ,v.
blow smoke,say something  so as to avoid telling the truth.,Stop blowing smoke and say something  useful.,v.
blown away,very  impressed; overwhelmed; awed, ,adj.
BLT,"bacon,  lettuce, and tomato sandwich", ,abbr.
blue balls,used to  describe the tenderness in the testicles after substantial sexual activity, ,n.
blue plate special,daily special  meal offered at a low price (usually in diners).,Would you like to hear  about our blue plate special?,n.
blue steeler,strong erection, ,n.
boat,very large car  (e.g.: Oldsmobile).,Those boats use too much gas.,n.
boat,very large  shoe.,Nice boats. You look like a clown.,n.
bod,body; physique  (especially an appealing one).,Look at that bod.,n.
boff,strike or punch  someone.,I got boffed on the head at the bar yesterday.,v.
boff,have sexual  intercourse with someone.,He boffed her last night again.,v.
boff,have sexual  relations with, ,v.
boffo,"a successful  movie, play, or other performance", ,n.
bogon,person who is  fake or says absurd things, ,n.
bogosity,something that  is bogus; quality of bogus-ness, ,n.
bogus,fake; false.,No more bogus excuses. Just tell me the truth.,adj.
boink,have sexual  intercourse with someone, ,v.
boku,a lot; many  (from the French beaucoup), ,adj.
bolo,solider who  fails rifle qualification, ,n.
bolo,fail a  qualification or test, ,v.
bomb,a terrible  performance or show.,That movie was a total bomb.,n.
"bomb, the",something  fantastic or wonderful.,Your party was the bomb.,n.
bombed,very drunk;  highly intoxicated on alcohol.,He got bombed at the bar last night.,adj.
bone,trombone (used  by musicians).,Play that bone for all your worth.,n.
bone up,study; learn  quickly or intensively.,Gotta bone up for the quiz next week.,v.
bonehead,"dumb, stubborn  perso", ,n.
boneheaded,"dumb, stubbor", ,adj.
boner,erection, ,n.
bones,dice.,Roll  'dem bones.,n.
bones,physician  (nickname made famous by Dr. McCoy in Star Trek), ,n.
boneyard,junkyard for  vehicles.,I found a fender for my car in the boneyard.,n.
bong,pipe used to  smoke marijuana, ,n.
bonk,to have sexual  intercourse, ,v.
bonkers,crazy; nuts;  insane.,"Don't mind him, he's just plain bonkers.",adj.
boob,woman's breast  (usually used in the plural).,Check out her boobs. They're enormous.,n.
boo-boo,error; mistake, ,n.
boo-boo,minor injury;  cut; bruise; scrape (usually said by and to small children).,Did you get a  boo-boo on the playground?,n.
boody,buttocks  (usually applies to a woman's buttocks), ,n.
booger,piece of snot  (nasal mucous).,You've got a booger on your shirt.,n.
boogie,type of dance  to rock music, ,n.
boogie,dance in a  particular style, ,v.
boogie,leave; go;  depart.,Time to boogie.,v.
book,charge a person  with a crime.,"We got our man, let's book him.",v.
book,leave; go;  depart.,"Gotta book, I'm meeting some friends soon.",v.
boom box,"a large,  portable stereo system.",Turn that damned boom box down.,n.
boondocks,"remote,  isolated area (often a village or town)", ,n.
boondoggle,government  activity that wastes taxes, ,n.
boonies,"remote,  isolated area (often a village or town; abbreviated form of boondocks)", ,n.
boost,shoplift; steal  from a store.,I boosted these from the drugstore.,v.
bootie,buttocks  (usually applies to a woman's buttocks), ,n.
booty,buttocks  (usually applies to a woman's buttocks), ,n.
booty call,state of sexual  arousal, ,n.
booze,alcoholic  beverage of any sort.,"Gimme some booze, now.",n.
bop,strike or punch  someone or something, ,v.
bop,kind of jazz  music from the 1940s, ,n.
boppers,amyl nitrite, ,n.
boss,excellent;  very pleasing; great, ,adj.
bought it,be killed.,He bought it when we raided that house.,idiom.
bought the farm,be killed.,He almost bought the farm on that last  patrol.,idiom.
bounce,energy; verve, ,n.
bounce,have a check  fail to clear payment due to lack of funds.,My checked bounced because I  forgot to put money into my account.,v.
bounce,leave; go;  depart.,"It's late, time to bounce",v.
bounce,throw someone  out (usually from a bar or similar establishment), ,v.
bounceback,patient who  repeatedly returns to the hospital, ,n.
bouncer,"an individual  who throws out patrons, usually unruly ones, from a bar of similar  establishment", ,n.
bouncer,person in a  club or bar who maintains order, ,n.
bow to the porcelain  altar,vomit; throw up  (n.b.: the porcelain alter refers to a toilet bowl), ,v.
box,"a large,  portable stereo system", ,n.
box,computer;  desktop computer.,How many boxes do we have in storage now? Do any work?,n.
boxed in,having few  choices or possibilities; having few options, ,adj.
bracelets,handcuffs.,The cop slapped bracelets on the drunk driver.,n.
brain bucket,helmet for when  riding a bicycle or motorcycle, ,n.
braindead,dumb; stupid person, ,n.
brainiac,very smart  student.,"She's such a brainiac, always getting straight A's.",n.
brass,colonels and  generals (in the U.S. Army), ,n.
BRB,be right  back, ,abbr.
bread,money; cash.,"I'm broke, no bread left.",n.
break,opportunity;  change.,"What a lucky break, I get to go to Thailand.",n.
break a leg,"good luck;  hope all goes well (from theatrical slang, where ""good luck"" is a  jinx)", ,exclam.
brew,coffee; beer, ,n.
brewsky,"beer; a  (bottle, can, glass) of beer", ,n.
Brickyard,Indianapolis  racetrack (home of the Indy 500), ,n.
broad,woma, ,n.
brown bag,bring lunch in  a brown paper bag, ,v.
brownout,a reduced level  of electrical power.,Another brownout? Now I can barely see anything.,n.
BTDT,"been there,  done that", ,abbr.
buck,one dollar.,That costs two bucks.,n.
buck sergeant,"sergeant (E-5,  in the U.S. Army)", ,n.
