Text_Chunks,Translation_to_SPA
"But there’s the one that’s over on the way to the airport. That’s a really cool one. And there’s quite a few diners that still exist, I would say the original Bob’s Big Boy, in Burbank.","Pero está el que está camino al aeropuerto. Esa es realmente genial. Y todavía existen bastantes restaurantes, yo diría que el Bob's Big Boy original, en Burbank."
"God, you’re killing this.","Dios, estás matando esto."
"Something to maybe look at. I mean, that’s just restaurants, and then in terms of bars, you know, some of the oldest bars are.","Algo que quizás mirar. Quiero decir, son solo restaurantes, y luego, en términos de bares, ya sabes, algunos de los bares más antiguos lo son."
The Formosa?,¿La Formosa?
"The Formosa or the Trocadero, which is like from the 20s. I would also argue like the Comedy Store, which is, you know, been around since the 20s, when it was cero or ciros. There’s a lot of like, historic stuff on Sunset Boulevard and old buildings that you if you drive by, you wouldn’t even notice that they were old, like like the gill Turner’s for example, that liquor store that’s like on the corner.","El Formosa o el Trocadero, que es como de los años 20. También diría que Comedy Store, que, ya sabes, existe desde los años 20, cuando era cero o ciros. Hay muchas cosas históricas en Sunset Boulevard y edificios antiguos que, si pasas por allí, ni siquiera te darías cuenta de que son viejos, como Gill Turner's, por ejemplo, esa licorería que está en la esquina."
On Sunset?,¿Al atardecer?
"So I don’t know there’s quite a few cool places like old divey bars, like there was a place near where Kennedy, R F. Kennedy was shot. And it’s called the HMS bounty. It’s one of the oldest bars is kind of near Cape Town. It’s a really cool place, and then you know, there’s like Felipe downtown and there’s a lot of cool places downtown Langurs, I try to look at Langurs, too, which is an old school Deli.","Así que no sé, hay bastantes lugares interesantes, como viejos bares de mala muerte, como si hubiera un lugar cerca de donde le dispararon a Kennedy, R F. Kennedy. Y se llama recompensa del HMS. Es uno de los bares más antiguos que se encuentra cerca de Ciudad del Cabo. Es un lugar realmente genial, y luego, ya sabes, está Felipe en el centro y hay muchos lugares interesantes en el centro de Langurs. También trato de mirar a Langurs, que es una tienda de delicatessen de la vieja escuela."
"Oh my god, this is the best answer ever given on this podcast.","Dios mío, esta es la mejor respuesta jamás dada en este podcast."
"Wow, thank you. I’m Angelina proud Angelina and a historic preservation Commissioner West Hollywood so.","Wow gracias. Soy Angelina, Angelina orgullosa y comisionada de preservación histórica de West Hollywood."
That’s right.,Así es.
Very invested in preserving old Hollywood.,Muy interesado en preservar el viejo Hollywood.
"I love it. Yeah, there is so much even just like the Du-par’s at the grove. That old Farmers Market.","Me encanta. Sí, hay muchas cosas como las de Du-par en el bosque. Ese viejo mercado de agricultores."
"Absolutely, Du-par’s,  is like a very untouched I mean, it’s still got those maroon booths. And and the farmers market itself is would be equally as good.","Absolutamente, Du-par's, es como un lugar muy intacto, quiero decir, todavía tiene esas cabinas granate. Y el mercado de agricultores en sí sería igualmente bueno."
"Yeah, Bob’s donuts. Well, we we watched Bosch or I was away and Rory watched Bosch. I had watched it because I just like needed something to why it’s good. And dad’s love Bosch, but um, Rory, when he moved out here I was then on you know, working out of town for like three months and he watched Bosch and then like went to all the LA because it takes place in LA and he’ll be like, this was the best I went to so and so’s the hole in the wall where you get the best bagels in LA or whatever. And he would go to all of those like Bosch tour. All right, what else?","Sí, las donas de Bob. Bueno, cuidábamos a Bosch o yo estaba fuera y Rory observaba a Bosch. Lo había visto porque simplemente necesitaba algo que explicara por qué es bueno. Y a papá le encanta Bosch, pero, Rory, cuando se mudó aquí yo estaba entonces, ya sabes, trabajando fuera de la ciudad durante unos tres meses y él vio a Bosch y luego se fue a todo Los Ángeles porque tiene lugar en Los Ángeles y él Seré como, este fue el mejor lugar al que fui y ese es el agujero en la pared donde consigues los mejores bagels de Los Ángeles o lo que sea. Y él iría a todas esas giras como las de Bosch. Muy bien, ¿qué más?"
"Hello, Sarah, my name is Yasmine, everyone calls me Yas. I work for a beauty company in Canada that’s also very popular in America. Black and white stripes if you get my drift. I don’t actually even know if I can legally say I worked there but whatever. You were talking about stamp eyeliner. The brand is called Kaja, KAJA, and they make this like really, really cute little Stampee. And you just do it a little corner of your eye and a little wing and it’s part Perfect and adorable and cute and it’s all one thing and it’s from a Korean company called Kaja. They also make really cute little blushes that are little compacts and bento box face products as well. They’re just adorable. So I hope that helps. Love you girl, you don’t even make up anyways, yeah.","Hola Sarah, mi nombre es Yasmine, todos me llaman Yas. Trabajo para una empresa de belleza en Canadá que también es muy popular en Estados Unidos. Rayas blancas y negras, si me entiendes. En realidad ni siquiera sé si puedo decir legalmente que trabajé allí, pero da igual. Estabas hablando del delineador de ojos con sello. La marca se llama Kaja, KAJA, y lo hacen como un pequeño Stampee realmente lindo. Y simplemente lo haces con el rabillo del ojo y una pequeña ala y es parte Perfecto, adorable y lindo, y es todo una cosa y es de una empresa coreana llamada Kaja. También hacen pequeños rubores realmente lindos que son pequeños compactos y también productos para el rostro de caja bento. Son simplemente adorables. Así que espero que eso ayude. Te amo niña, de todos modos ni siquiera te maquillas, sí."
"I wrap things. Yes, I think I saw that, or did you send that to me, it’s me. It’s like, it gives you the the cat I corner little triangle and then you fill in the rest. But the part that you fill in the rest is the part that I have the problem with, which is like staying on the line above my eyelid, you know, and like making a thick line.","Envuelvo cosas. Sí, creo que vi eso, o me lo enviaste, soy yo. Es como si te diera el pequeño triángulo del gato que arrinco y luego completas el resto. Pero la parte que completas el resto es la parte con la que tengo el problema, que es como permanecer en la línea sobre mi párpado, ya sabes, y como hacer una línea gruesa."
"So usually, I mentioned that there was like a stamp when you mentioned it on the last show, but what you can do is just do like a dark shadow, so that it’s sort of a little smoky and then just use that stamp at the end.","Por lo general, mencioné que había como un sello cuando lo mencionaste en el último programa, pero lo que puedes hacer es simplemente hacerlo como una sombra oscura, para que tenga un poco de humo y luego usar ese sello al final. ."
"Oh, that’s what I started doing is I put like, I use like a dark shadow instead of a pencil and it’s just like you can mess it up a little more and then you just fix it with the Q tip.","Oh, eso es lo que comencé a hacer: puse una sombra oscura en lugar de un lápiz y es como si pudieras estropearlo un poco más y luego simplemente arreglarlo con el Q tip."
"Victoria Beckham’s Kajal, her she has KAJAL liners. First of all her makeup is amazing.","Kajal de Victoria Beckham, ella tiene forros KAJAL. Primero que nada su maquillaje es increíble."
It is?,¿Es?
"Oh my gosh, and it’s clean beauty and I the liners are insane. And she also has these cream shadows in a stick and there’s probably a like I use a dark brown but I was gonna actually suggest maybe there’s a darker one that you could use for this as well like what you’re looking for.","Dios mío, es una belleza limpia y los delineadores están locos. Y ella también tiene estas sombras en crema en una barra y probablemente haya una como yo uso un marrón oscuro, pero en realidad iba a sugerir que tal vez haya una más oscura que podrías usar para esto, así como lo que estás buscando."
"Yeah, but you use the dark brown to line your lips don’t you know.","Sí, pero usas el marrón oscuro para delinear tus labios, ¿no lo sabes?"
I use her dark brown on my under my eyes and over my eyes to kind of make my whole eye look reddish because I have green eyes and that purples and reds pops green.,Utilizo su marrón oscuro debajo de mis ojos y sobre mis ojos para hacer que todo mi ojo luzca rojizo porque tengo ojos verdes y los morados y rojos resaltan en verde.
What the fuck? How do you know these things?,¿Qué carajo? ¿Cómo sabes estas cosas?
I’ve been into makeup like my whole life. I’m good at doing makeup.,Me ha gustado el maquillaje toda mi vida. Soy buena maquillando.
Well fun fact about Amy’s V is she uses a black eyeliner on her lips. And that’s her only lipstick.,Un dato curioso sobre Amy's V es que usa un delineador de ojos negro en los labios. Y ese es su único lápiz labial.
But everybody that grew up in LA in the 90s did that. It just happened to stick with me.,Pero todos los que crecieron en Los Ángeles en los años 90 hicieron eso. Simplemente se quedó conmigo.
I know it looks good.,Sé que se ve bien.
But no one would ever know it was black. It just looks like I’ve got like a nice deep purple or something.,Pero nadie sabría jamás que era negro. Parece que tengo un bonito color morado oscuro o algo así.
"Yeah, I would be I was shocked when you told me and showed me. All right, what else?","Sí, me sorprendió cuando me lo dijiste y me lo mostraste. Muy bien, ¿qué más?"
"Hey, Sarah. It’s your best friend Amber calling from Sydney, Australia. This Saturday is the 46th annual Gay and Lesbian Mardi Gras in Sydney.","Hola, Sara. Soy tu mejor amiga, Amber, llamando desde Sydney, Australia. Este sábado se celebra el 46º Mardi Gras anual de gays y lesbianas en Sydney."
Wow.,Guau.
"And to celebrate, I would just love to say to the world that I am completely and utterly gay. I’ve lived the majority of my life as a heterosexual woman. Then a few years ago, I got more comfortable with the identity of pansexual because I found that myself getting attracted to some women and some non binary people. And then last year in 2023, I finally got the flaps to take the leap and start dating women and I have to say that it has been the most beautiful and rewarding experience of my life. The depth of connection and the level of intimacy through dating women has just been like, offered studies. And so if there’s anyone out there listening who was like me and was terrified, just go for it. Find that person that you’re attracted to and just fucking go for it. What have you got to lose? Love you.","Y para celebrarlo, me encantaría decirle al mundo que soy total y absolutamente gay. He vivido la mayor parte de mi vida como mujer heterosexual. Luego, hace unos años, me sentí más cómodo con la identidad de pansexual porque descubrí que me atraían algunas mujeres y algunas personas no binarias. Y luego, el año pasado, en 2023, finalmente conseguí las aletas para dar el salto y empezar a salir con mujeres y tengo que decir que ha sido la experiencia más bonita y gratificante de mi vida. La profundidad de la conexión y el nivel de intimidad a través de las citas con mujeres han sido ofrecidos por estudios. Entonces, si hay alguien escuchando que fuera como yo y estuviera aterrorizado, que lo haga. Encuentra a esa persona que te atrae y hazlo. ¿Qué puedes perder? Te amo."
"Yes, Amber. Got a great call. Just a feel good call. And by the way flaps. That’s replacing lips for me. Get the flaps to do it, flaps I love that, that’s fucking great. Give it to the Australians with their they’re the best at the nicknames. Everything’s got a nickname. My sister in law Semaan. I carry this it was on this podcast that I think I made a joke about how they always have. We were laughed, she was laughing yet because I said they call the Holocaust the holy. But I made that up when I just said that they make nicknames out of everything. Was your family in the holly? All right, not funny. Funny? a little funny? But yes, I have a sister who is actually in Sydney, who is also gay in Sydney right now, but she’s taken on but congratulations. And happy 46th annual Gay and Lesbian Mardi Gras of Australia. And what a great call. Dad, we’re winding down wherever you are in time and space. Oh, I miss you so much. We are winding down. This is the part of the show, when I say send me your questions, go to speakpipe.com/theSarahSilvermanpodcas that’s speakpipe.com/theSarahSilvermanpodcast, and subscribe, rate and review wherever you listen to podcasts. And there’s more of the Sarah Silverman podcast with Lemonada Premium subscribers get exclusive access to bonus questions like one from a mom who’s not sure whether or not to let her kids play with toy guns. Subscribe now in Apple podcasts. Thank you for listening to the Sarah Silverman podcast. We are a production of Lemonada media, Kathryn Barnes and Kryssy Pease produce our show. Our mix is by James Sparber. Additional Lemonada support from Steve Nelson, Stephanie Wittels Wachs and Jessica Cordova Kramer. Our theme was composed by Ben Folds and you can find me at @SarahKateSilverman on Instagram. Follow the Sarah Silverman podcast wherever you get your podcasts or listen ad free on Amazon music with your Prime membership.","Sí, Ámbar. Recibí una gran llamada. Sólo una decisión para sentirse bien. Y por cierto solapas. Eso es reemplazar los labios para mí. Consigue las solapas para hacerlo, solapas, me encanta, es jodidamente genial. Dáselo a los australianos que son los mejores con los apodos. Todo tiene un apodo. Mi cuñada Semaan. Llevo esto, fue en este podcast donde creo que hice una broma sobre cómo siempre lo han hecho. Nos reímos, ella todavía se reía porque dije que al Holocausto lo llaman santo. Pero me lo inventé cuando dije que a todo le ponen apodos. ¿Estaba tu familia en el santo? Está bien, no es gracioso. ¿Divertido? un poco gracioso? Pero sí, tengo una hermana que en realidad está en Sydney, que también es gay en Sydney en este momento, pero la acepté, pero felicidades. Y feliz 46º Mardi Gras anual de gays y lesbianas de Australia. Y qué gran llamada. Papá, nos estamos relajando dondequiera que estés en el tiempo y el espacio. Oh, te extraño mucho. Nos estamos calmando. Esta es la parte del programa, cuando digo que envíenme sus preguntas, vayan apeakpipe.com/theSarahSilvermanpodcas, es decir,peakpipe.com/theSarahSilvermanpodcast, y suscríbanse, califiquen y revisen cualquier lugar donde escuchen podcasts. Y hay más del podcast de Sarah Silverman en el que los suscriptores de Lemonada Premium obtienen acceso exclusivo a preguntas adicionales, como la de una madre que no está segura de dejar o no que sus hijos jueguen con pistolas de juguete. Suscríbete ahora en los podcasts de Apple. Gracias por escuchar el podcast de Sarah Silverman. Somos una producción de Lemonada Media, Kathryn Barnes y Kryssy Pease producen nuestro programa. Nuestra mezcla es de James Sparber. Apoyo adicional de Lemonada de Steve Nelson, Stephanie Wittels Wachs y Jessica Cordova Kramer. Nuestro tema fue compuesto por Ben Folds y puedes encontrarme en @SarahKateSilverman en Instagram. Siga el podcast de Sarah Silverman donde quiera que obtenga sus podcasts o escuche música de Amazon sin anuncios con su membresía Prime."
